question,answer
每一被保险人可投保多份吗？,限投一份，多投无效。
本产品可以全国销售嘛？,在内蒙古地区生活的家养宠物猫或宠物犬
宠物犬自己发生意外是否属于保险责任？宠物犬自己发生意外是否属于保险责任？,不属于，该产品仅承保宠物导致
我家宠物咬伤了其他家的宠物可以赔,抱歉，被保险宠物对其他动物造成的
本保险是否有等待期？,本保险的等待期为3天，即自保险期间开
本产品可以承保的所有种类的宠物犬,本保险仅承保宠物犬，不论有无法律禁止都不承
宠物导致三者发生保单约定的情形，需要提前告知保险公司吗？,需要，若您承保的宠物导致三者发生承保范围内的保险事故时，需先向我司报案；
宠物自己发生意外是否属于保险责任？,不属于，仅承保导致的第三者意外、医疗的直接损失；
中途可以退保吗？怎么退呢？,可以退保，请在APP操作或者可拨打95511咨询。
等待期多久？,您好，该保险等待期为3天。
宠物责任意外伤害指的是什么保障？意外伤害和意外医疗的区别在哪里？,宠物责任意外伤害主要保障被保宠物因意外造成第三者意外身故、残疾的损失赔偿；宠物责任意外医疗主要保障被保宠物因意外造成第三者的意外伤害事故医疗费用损失；
什么宠物可以投保？,本产品仅承保宠物猫及宠物犬，不承保藏獒、阿富汗猎犬、苏俄牧羊犬及其他当地政府或管理部门明令禁养的烈性犬只。
我家有好几只宠物，我可以都购买吗？,可以，本产品同一宠物限投一份，如家有多只宠物，可分别对宠物进行投保；
宠物主本人和家庭成员属于保障范围内吗？,宠物主本人属于保障范围内，家庭成员不在保障范围内。
升级版保险产品中赠送的疫苗是哪款疫苗？,硕腾品牌的妙三多和卫佳五疫苗（如因供货紧张等原因无法提供硕腾疫苗在用户同意的情况下可使用同等进口疫苗）。
产品中赠送的体检包含哪些项目？,体重体温、牙齿、口腔粘膜、四肢骨骼肌肉、基础神经学、体表淋巴结、胸部、腹部、耳道分泌物、皮肤、粪便、血常规、营养状况评估、饮食指导。
保险产品中赠送的体检包含哪些项目？,体重体温、牙齿、口腔粘膜、四肢骨骼肌肉、基础神经学、体表淋巴结、胸部、腹部、耳道分泌物、皮肤、粪便、血常规、营养状况评估、饮食指导。
“玩美中国”境内旅行保保障范围有哪些？,提供旅游、出行途中的意外身故及残疾保障、意外医疗。并提供交通意外和突发急性病身故保障、境内紧急救援、意外和疾病住院津贴、行李延误、行李物品损失等。
保险起期能选当日吗？,保险起期不能选择投保当日，最早只能是次日零时。请您在确定行程后尽早投保，以免耽误您的出行。
发生意外事故后怎样申请救援服务？,本保险部分计划赠送境内紧急医疗救援服务，出险后请优先拨打24小时救援电话4001665995（如不适用请拨打95511转9），我司会根据实际需求提供相应的救援服务。
新型冠状病毒肺炎是否属于特定传染病身故责任保障范围？,属于
什么情况属于危重型传染病？,即满足出现呼吸衰竭且需要机械通气/出现休克/合并其他器官功能衰竭需ICU监护治疗条件之一。
是否保证续保。,本产品遵循不保证续保条款，保险期间届满，投保人需要重新向保险人申请投保本产品，经保险人同意，交纳保险费，获得新的保险合同。 若发生下列情形之一的，本产品不再接受续保:（一）本产品统一停售； （二）被保险人超过投保人与保险人在保险合同中约定的投保年龄范围； （三）被保险人身故； （四）投保人对于保险人就投保人或者被保险人的有关情况提出的询问未履行如实告知义务，足以影响保险人决定是否同意承保的； （五）被保险人不符合投保条件或存在欺诈情形的。
所在城市没有体检机构怎么办？,承保30天后可电话联系4006-898-761，我公司的供应商将进行个案处理，安排客户至符合标准体检机构进行体检。
投保前已经发生的疾病住院， 或即将有住院意向是否可以理赔？,投保前已出现健康告知中列明的情况，必须全部如实告知，若未如实告知，将无法获得赔付。
投保人、被保人关系？,目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。
产品有保障新型冠状病毒肺炎吗？,新型冠状病毒国家认定为乙类传染病，属于保障范围。
保障的疾病类型有哪些？,保障范围为《中华人民共和国传染病防治法》中规定的甲类、乙类及丙类传染病。
保险的犹豫期有多久,30天
此份保险保所有的癌症吗,不是，仅承保乳腺癌
可以购买多份么？,本产品限购一份，多购无效。
境外医疗保障范围是怎么样的？,1、被保险人在境外旅行期间遭受主保险合同约定的意外伤害事故或罹患疾病，且必须在境外医疗机构进行必要治疗的，对于其实际支出的、必要且合理的医疗费用。2、返回境内后因该意外事故或疾病仍需在境内医疗机构继续接受治疗的，对于其实际支出的、按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用。
治疗时间有限制吗？,最长承担事故发生后90天内的境外治疗费用，及回国后30天内的后续医疗费用。
什么是意外事故？,意外事故是指外来的、突发的、非本意的、非疾病的使身体受到伤害的客观事件，比如交通事故、跌倒摔伤、动物咬伤等。
1-3类职业，是指那些？,如白领、内勤管理、销售人员、学生、家庭主妇、零售商（不负责安装）等，具体可在投保须知中参照《职业分类表》或点击右上角在线客服咨询。
意外身故最高可以赔到100万吗？,可以。飞机、火车、轮船、汽车的意外伤害身故残疾责任，在保险责任范围内可以跟“身故伤残保险责任”叠加。例如某女士因飞机意外而身故，该女士在事故前已购买平安守护·成人意外险的套餐3，经核实属于“飞机意外伤害身故残疾”和“身故伤残保险责任”的保障范围内，因此“飞机意外伤害身故残疾”可赔偿50万，“身故伤残保险责任”可赔偿50万，总计赔偿100万元。
产品等待期多久？,等待期10天。
本保险的保障对象包含哪些？,本产品被保险人为18-65周岁的成人及其0-17周岁子女，被保险人间关系为父母和子女。
本保险的保额如何分配？,本保险意外身故和残疾责任保额为每人10万元，医疗责任保额为每人5000元，每次事故免赔100元。
意外伤害包含哪些？传染病身故属于意外伤害吗？,意外伤害指以外来的、突发的、非本意的和非疾病的客观事件为直接且单独的原因致使身体受到的伤害。自然死亡、疾病死亡、猝死、自杀及自伤均不属于意外伤害。
因意外伤害就医，理赔时对医院有什么限制吗？,本保险承保子女对第三者造成的人伤伤害责任，第三者就诊医院需为经中华人民共和国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。扣除每次事故免赔额200元。
该保障提供哪些保障和服务？,孝心保的保障内容包括意外和甲乙类传染病医疗，服务包括：1次老年人专属体检、全年慢病购药优惠（药费自付）、10次视频专家问诊、就医陪诊服务。
意外医疗和甲乙类传染病医疗赔偿哪些费用？,在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受治疗，可以报销个人支付的、必要且合理的社保目录内的医疗费用。
什么是甲乙类传染病？,传染病保险的保障范围为《中华人民共和国传染病防治法》中规定的甲类及乙类传染病。
保新冠肺炎吗？,新冠肺炎在孝心保的保障范围内，除免责条款约定情况外，被保人因治疗甲乙类传染病（包含新冠肺炎）产生的医疗费用医保报销后可全额申报，与意外医疗保障共用1万元保额。
父母不小心摔伤导致骨折，是否可保？,可以，骨折在孝心保的保障范围内，除免责条款约定情况外，因为意外导致的疾病产生的医疗费用医保报销后扣除500元免赔额后，可全额申报。
有犹豫期么？,自保单承保次日起，有10日的犹豫期，在此期间您若提出解除本保险合同，我们将退还您所支付的全部保费。犹豫期后，若您申请解除合同会遭受一定损失，我们将按条款退还您保险合同的最低现金价值。
有免赔额么？,每次事故绝对免赔500元。
如何申请理赔？理赔进度如何查询？,可以在平安好车主首页点击“办理陪”-“我要报案”，进入理赔界面上传所需的理赔材料进行快速理赔；也可以拔打95511进行理赔申请。
该保障等待期是多久？,传染病医疗有10天等待期，意外医疗无等待期。
健康服务如何使用？,“体检”、“视频专家问诊”、“慢病购药优惠”、“就医陪诊”四项服务请在购买保单后，下载平安好生活，点击“我的-我的卡券”使用；“就医陪诊”服务也可拨打95511-#-9。
本产品投保年龄是多少岁？,本产品目前支持的首次投保年龄为28天-70周岁，续保最高可至99岁。
本产品等待期是多少天？,恶性肿瘤及原位癌确诊/治疗费用保险金、就医安排费用保险金、恶性肿瘤第三方诊疗费用保险金、质子重离子治疗费用保险金等待期为90天，被保险人在投保后至等待期结束之日前经医院确诊发生本主险合同约定的恶性肿瘤或原位癌的，我们不承担给付保险金的责任，并向您返还所交保险费，本合同终止。投保人在上一保险期间届满60日内为被保险人重新投保本产品的，免等待期。
合同约定的医院范围有哪些？,中国境内（不含港澳台）合法经营的二级以上（含二级）公立医院普通部及上海质子重离子医院（暨复旦大学附属肿瘤医院质子重离子中心）。不包括以康复、护理、疗养、戒酒、戒毒或者类似功能为主要功能的医疗机构。此外，本产品计划三可以包含上述公立医院的特需部，但仅限于被保险人因恶性肿瘤或原位癌在特需部就诊，且特需部不包含高级病区、VIP病房、外宾医疗、干部病房、国际医疗。
本产品是否有免赔额？,本产品无免赔额。
有基本医疗保险或公费医疗但未使用，会对赔付有影响吗？,有影响。被保险人已从基本医疗保险或公费医疗获得费用补偿，我们在扣除被保险人按照基本医疗保险或公费医疗的有关规定取得的医疗费用补偿后，按照100%比例赔付。若被保险人以有基本医疗保险或公费医疗的身份参保、但就诊时未使用基本医疗保险或公费医疗的，我们计算保险金后，再乘以60%的比例给付癌症治疗费用保险金。如您投保的是计划三、且在本合同约定的特需部进行恶性肿瘤或原位癌治疗的，不受此限。
什么是最高给付金额？,在保障期间，被保险人不论一次或多次在医院进行治疗，我们均按照约定给付各项保险金，但各项保险金的累计给付金额以被保险人的保险金额为限，累计给付金额到达保险金额时，保险责任终止。我们的最高给付金额不超过被保险人实际发生的医疗费用扣除其所获补偿后的余额。
如果在投保时，没有如实告知，出险后能获得赔付吗？,您需要在投保时如实告知。如果您未如实告知，有可能不能获得赔付。
投保后，还能退保吗？,您可以退保。自您收到电子保单次日起，您有10日犹豫期，犹豫期内解除合同，我们将无息退还您所缴的保费。自我们收齐申请材料起，合同即被解除，我们对合同解除前发生的保险事故不承担保险责任。犹豫期后退保，您会遭受一定的损失。
重症监护室治疗指什么？,即ICU治疗，指被保险人因疾病或意外原因，经重症监护室专科医生判断必须入住国家卫生部医院等级分类中的三级或三级以上医院内设置的重症监护病房接受治疗，并且在重症监护病房内接受持续治疗超过120小时，且满足以下各项中的任何一项:1.因自主呼吸功能不能满足生理需求而行经口或经鼻气管插管或气管切开的有创呼吸机机械通气支持治疗；2.因心肺功能衰竭而接受了体外膜肺氧合或者体外循环的治疗；3.因急性肾功能衰竭
除了保滑雪当天在雪场的意外，还保其他意外么？,是的，本保险为旅游险，在保险期间内承保滑雪时以及其他旅游发生的意外。
意外医疗有免赔么？,有的，每次事故免赔额100元。
投保前已经确诊罹患传染病可以赔付吗？,被保险人在保险期间开始前以及等待期内确诊罹患法定传染病的，或因疑似罹患法定传染病，或因与疑似罹患法定传染病病人密切接触而被隔离的，属保险责任免除。
意外伤害包含哪些？,意外伤害指以外来的、突发的、非本意的和非疾病的客观事件为直接且单独的原因致使身体受到的伤害。自然死亡、疾病死亡、猝死、自杀及自伤均不属于意外伤害。
百万医疗险与社保相比有什么优势？,社保是一份基础的医疗保障，而百万医疗险可以看做是一份更全面、额度更高的补充保障。1）社保是按照比例报销的，报销后个人仍需自费承担很大一部分，而百万医疗险是在扣除免赔额以后责任范围内100%赔付报销。2）社保不能报销的靶向药、自费药、进口药，扣除免赔额后都可以在百万医疗险下进行报销。3）社保报销完后，百万医疗险对剩下的自费金额补充报，两者不冲突。4）百万医疗险最高可报销600万，报销额度高，可以将百万医疗险作为社保的补充。
百万医疗险的保额是多少？,平安·百万医疗险，是可以保障您这边责任范围内的住院医疗费用和住院前7后30天的门急诊费用（年免赔额1万），最高保额600万。针对一般疾病和意外的医疗费用有300万的费用，100种特定疾病医疗费用有最高600万的保额。
百万医疗险续保年龄要求是什么？,出生满28天-60周岁都可以首次投保，续保可至99周岁，我们承诺不因您的健康情况变化及赔付记录而拒绝续保，让您没有后顾之忧。
本保险承保的被保人年龄范围是多少？,本保险承保年龄为0-65周岁，超出年龄范围无效；
高风险运动能赔付吗？,购买高风险运动方案套餐即可承保，高风险运动的定义及责任免除详见条款。
我的父母发生保险事故，是否可保？,可保，本产品保障对象为被保险人夫妻双方、父母以及子女。但是请您特别关注，连带被保险人员申请理赔时，需提供结婚证、离婚证、户口本、出生证等能够证明其与主被保险人关系的材料，确认为本产品保障对象的方可进行赔付。主被保险人的年龄限定为20-55周岁。投保时只需要填写主被保险人的信息即可，连带被保险人（父母、配偶、子女等均不需要填写信息）
子女人数有限制吗？,没有，只要是被保险人的法定子女都在保障范围内。
客户从事拒保职业，发生意外伤害事故是否可获得赔偿？,主被保险人和连带被保险人的职业限定为1-4类，具体以中国平安财产保险股份有限公司职业分类表（2009版）为准，若被保险人从事拒保职业，发生意外伤害事故的不在赔偿范围内。
我的配偶或子女发生保险事故，是否可保？,法定子女和配偶是可保的，并且投保时无需填写配偶和子女的姓名，理赔时凭关系证明（出生证、结婚证等）进行理赔。具体证明以理赔人员要求为准。
投保后被保险人拥有怎样的保额？,对于财产损失，主被保险人和连带被保险人共用保额；对于意外身故/伤残、意外医疗，各被保险人每人有一项独立的保额。
该产品可承保的房屋类型是？,本产品仅承保房屋结构为钢混或砖混且用于自住的商品房。您的房屋结构可通过房产证等证件查询。
如果家里被偷，电器什么的都要提供发票。如果发票都没了怎,如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。
如果邻居家的房屋发生水暖管爆裂，渗水破坏了我家的地板家,在赔付范围
赔付金额是怎么测算的？,我们为您提供扣除诊疗费用免赔额300元或30%（取高者）后，最高2000元的传染病诊疗手术费用报销额度。
我需要带我家宠物到哪些医院看病呢？,您可以带宠物到我们的指定医院就诊。
我到平安指定的定点医院接受治疗，那申请理赔需要走什么流程呢？,您可下载“平安保险好生活“app，按照页面指引提交相关材料，或拨打95511，根据客服指引进行理赔申请。您需要上传的资料包括但不限于：治疗费用清单，宠物病例证明，化验单、宠物照片等。请您在治疗完成后，请在15天内向保险公司申请理赔。请注意，如果您前往非平安指定的定点医院，您将无法获得理赔。
投保了平安爱宠医保计划后，保险期间内可以变更套餐吗？,保险期间内您不可变更套餐，除非您将原产品退保，再购买新的套餐，但此类情况不属于续保，不适用于续保无等待期的约定，即您的宠物医疗保障将从保单约定的等待期后重新开始。
我到平安指定的可以直赔的医院接受治疗，具体流程是怎样的呢？,您到达医院后，可通过平安发送的投保成功短信链接查询到您的保单号，您可将保单号告知医院前台服务人员，前台会告知您剩余可理赔的次数。在您结束治疗后，平安会自动理算保险可覆盖的金额，您只要支付属于您的那部分费用，您即可离开医院。
如果我到不能直赔，但是是合作的定点理赔医院，那申请理赔需要,您可下载“平安保险好生活“app，按照页面指引提交相关材料，或拨打95511，根据客服指引进行理赔申请。您需要上传的资料包括但不限于：治疗费用清单，宠物病例证明，化验单、宠物照片等。请您在治疗完成后，请在15天内向保险公司申请理赔。请注意，如果您前往非平安指定的定点医院，您将无法获得理赔。
如果我去了直赔医院，那无论我是买的套餐是什么，都可以享受直,是的，无论您购买的那款套餐，您都可以享受直赔。
如果我仅开了些药，可以获得赔偿吗？,我们的赔偿基于医生对您宠物的疾病诊断，无症状的开药行为，将无法获得赔偿。
如果我想要退保，退回来的钱是怎么计算的？,退保金额=保险费×[1-(保险单已经过天数/保险期间天数)]。经过天数不足一天的按一天计算。
如果我需要发票或申请更改住址等信息，应该怎么办？,您可通过点击平安发送您的投保成功短信中的链接，登录申请电子发票和线上信息修改。
酒精消毒时不慎发生火灾，导致房屋内装潢受损，是否可保？,可保。本产品可保障火灾、爆炸导致的房屋主体和装修损失。
新型冠状病毒感染的肺炎是否属于保险责任？,根据《中华人民共和国国家卫生健康委员会公告》（2020年第1号）的规定，新型冠状病毒感染的肺炎纳入《中华人民共和国传染病防治法》规定的乙类传染病，并采取甲类传染病的预防、控制措施，因此该疾病属于保险保障范围。
甲乙类传染病身故责任是否有等待期？,该责任首次投保等待期为10日，被保险人在投保后至等待期结束之日前确诊的疾病、发生的疾病症状、异常体征或检验指标异常，我们都不承担本保险合同的赔付责任。
甲乙类传染病身故保障的疾病类型有哪些？,保障范围为《中华人民共和国传染病防治法》中规定的甲类和乙类传染病。
水管道、暖气管道爆裂是否在赔付范围？,属于赔付范围，水暖管爆裂给自己家以及邻居家的财产损失。
航空意外适用全球还是仅中国境内？,全球
航延责任是每满3小时就赔付100元吗？,不是，满3小时仅赔付一次100元，赔付后该保险责任终止。
对航班有什么特殊限制吗？,春秋航空、九元航空除外
单次出行不能超过20天，理赔时该如何证明出行时间？,发生保险事故时，需要提交从常住地出发的出行证明，如机票、登机牌、火车票、酒店住宿发票、高速公路过路费等证明资料。
如果家里被偷，电器什么的都要提供发票。如果发票没了怎么办？,如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。
房产证写的是我父母的名字，可以投保该产品吗？,可以投保，在此情况下，建议被保险人写父母的名字。
邻居家水（暖）管爆裂，渗水破坏了家里地板家具等，能不能赔？,如果购买了水暖管爆裂损失责任可以理赔。
家里水（暖）管爆裂，渗水破坏了邻居家地板家具等，能不能赔？,如果购买了居家责任可以理赔。
如果家里被偷，电器什么都要提供发票。如果发票都没了怎么办？,如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。
安装在房屋外的空调遭暴雨、台风造成损失能否理赔？,可以理赔，是在家庭财产保险承保范围内。
安装在房屋外的空调如果被盗抢能否理赔？,可以理赔，是室内盗抢责任承保范围内。
安装在房屋外的空调器发生高空坠落导致第三者伤害，能否理赔？,可以理赔，是居家责任承保范围内。
航延责任是每满2小时就赔付10元吗？,不是，满2小时仅赔付一次10元，赔付后该保险责任终止。
什么是意外事故,意外事故是指外来的、突发的、非本意的、非疾病的使身体受到伤害的客观事件，比如交通事故、跌倒摔伤、动物咬伤等。
保险的保障期限有多久？,3-30天可自行选择。
意外医疗有免赔额么？,每次事故免赔额100元。
该产品的保障范围有哪些？,保障被保险人以乘客身份乘坐民航客机或商业营运的货车、汽车、轮船期间因遭受意外伤害事故导致身故、伤残费用支出。
乘坐期间包括在候机/车厅等待时间吗？,不包括。乘坐期间指被保险人进入客运民航班机的舱门、商业营运的火车车厢、轮船甲板或机车车厢时起，至抵达目的地走出舱门、车厢或甲板时止的期间。
驾驶汽车、租车期间的意外可赔偿吗？,不可以。只有在乘坐营运性汽车期间遭受的意外事故可以获得赔偿。
乘坐滴滴发生意外事故可赔付吗？,只要被保险人以乘客身份乘坐的滴滴车辆性质是商业营运的汽车，那么乘坐期间因遭受意外伤害事故导致身故、残疾费用支出可以赔偿。
有购买份数的限制吗？,同一被保险人限投一份，多投无效。
信用卡附卡是否可以保障？,可保，您名下主卡所关联的附属卡如发生保险事故也在保障范围内。
第三方账户是否在保障范围内？,第三方支付余额账户中的资金损失不在保障范围内。
在保险期间内我又新办了信用卡或者借记卡，可保吗？,可保，该保险保障被保险人名下的所有银行卡，不论是投保前办理还是保险期内新办的卡片都在保障范围内。
请问家财保障承保自然灾害比如暴雨么？,不承保自然灾害，本保险仅承保火灾引起的房屋主体和装修的损失。
必须录入家庭地址么？,是的。
如果我家的水暖管爆裂了，导致楼下的房屋装修有损失，你们赔么,属于保险责任，根据保单约定的免赔额等规定及保险公司定损金额予以赔付。
怎么知道我的房屋类型是钢筋还是砖瓦？,您的房屋结构可通过房产证等证件查询。
如果家里被偷，电器什么的都要提供发票。如果发票都没了怎么办,如果没有发票，理赔时可以提供能证明被盗物品确实存在的材料，例如：照片、维修单据、购买小票（收据）等。
如果邻居家的房屋发生水暖管爆裂，渗水破坏了我家的地板家具等,在赔付范围
本产品承保的房屋结构？,本产品所承保的房屋仅限中华人民共和国境内（不含港澳台地区）被保险人拥有合法产权的、建筑结构为钢、钢筋混凝土结构或砖混结构的用于居住的房屋（不承保别墅、农村房、自建房、小产权房、经营用途的房屋）。房屋结构可通过房产证等证件查询。
本产品承保哪些家财风险？,本产品承保保单载明的房屋地址内由于火灾、爆炸造成的房屋主体和房屋装修的损失。
房屋主体包括哪些？,指房屋主体承重结构、围护结构，但不包括独立于房屋主体之外的车库、围墙等附属建筑物。其中，围护结构是指围合建筑空间四周的墙体、门、窗等。
房屋装修包括哪些？,指房屋装潢中固定的、不能移动的硬装修，如固定装置的水暖、气暖、卫生、供水、管道煤气及供电设备、吊顶、墙面涂料等。
房产证上是家人名字，投保人写本人名字，可以理赔吗？,可以。理赔没有影响，出险的时候是按产权所有人进行赔付的。
保险单从什么时候开始生效？,保单生效日可自由选择，但最早只能是投保当日起的第8天。
我家出租的店铺发生了火灾，是否可以赔付？,本保险承保房屋标的仅限拥有合法产权的钢混、砖混结构的用于居住的商品房，不承保用于生产经营的商品房。
如何选择合适您的保险方案？,本保险一共三款套餐可选，您可以根据房屋的市值、房屋装修及室内财产的价值选择合适的套餐，一年保障最低只需100元。
我到平安指定的定点医院接受治疗，那申请理赔需要走什么流程呢,您可下载“平安保险好生活“app，按照页面指引提交相关材料，或拨打95511，根据客服指引进行理赔申请。您需要上传的资料包括但不限于：治疗费用清单，宠物病例证明，化验单、宠物照片等。请您在治疗完成后，请在15天内向保险公司申请理赔。
Q:本产品承保的房屋结构？,A:本产品仅承保被保险人拥有合法产权的、建筑结构为钢混或砖混的用于自住的商品房，不承保用于生产经营性质的商品房
Q:该产品有免赔额吗？,A:本产品房屋主体、房屋装修和居家责任导致的第三者医疗费用，单次事故免赔额1000元或损失金额的20%，以高者为准。
Q:阳台花盆掉落砸伤路人，是否在赔付范围内？,A:在赔付范围，属于居家责任第三者人伤承保范围。
什么是免赔额？该保障是否有免赔额？,免赔额是指保险公司不负责赔偿需要被保险人自行承担的部分，免赔额可降低保费，让更多人承担的起百万医疗险的价格。120种重疾医疗费用保险与质子重离子医疗费用保险0免赔额，一般医疗费用保险中您个人/家庭支付累计超过一万元的部分由该保障报销，一万元以下由个人（或其他商业保险）承担。
家庭共享免赔额是什么意思？,如果投保人在同一订单内为多个家人（≥2人）同时购买本产品，全家人共享1万元年免赔额。比如张女士为自己（29岁）、丈夫（31岁）和女儿（5岁）同一保单购买了该产品，举例：若张女士因遭受意外导致了住院，花费了4.5万元，如为责任范围内医疗费用，将在扣除1万元免赔额后获得责任内赔付。因为是全家共享1万免赔额，保险期间内若张女士丈夫和女儿发生责任内医疗费用，不再需要扣除免赔额，免赔额为0元。
意外伤害包含哪些？猝死属于意外伤害吗？,意外伤害指以外来的、突发的、非本意的和非疾病的客观事件为直接且单独的原因致使身体受到的伤害。自然死亡、疾病死亡、猝死、自杀及自伤均不属于意外伤害。
什么是免赔额？是否有免赔额？,免赔额指的是保险公司不负责赔偿需要被保险人自行承担的部分，免赔额可降低保费，让更多人承担的起百万医疗险价格。120种重疾医疗费用保险与质子重离子医疗费用保险0免赔额，一般医疗费用保险中您个人/家庭支付累计超过一万元的部分由E家平安·百万医疗险报销，一万元以下由个人（或其他商业保险）承担。
家庭投保的范围是什么，可以为家人投保吗？,您可为以下四类人群进行投保：1）本人；2）配偶；3)子女；4）自己的父母；无法为配偶的父母进行投保。
一万免赔额是什么意思？,如果投保人在同一订单内为多个家庭成员（≥2人）同时购买本产品，全家人共享1万元年免赔额。。比如张女士先生为自己（29岁）、丈夫（31岁）和女儿（5岁）同一保单购买了该产品，情况一：若张女士因遭受意外导致了住院，花费了4.5万元，如为责任范围内医疗费用，将在扣除1万元免赔额后获得责任内赔付。因为是全家共享1万免赔额，保险期间内若张女士丈夫和女儿发生责任内医疗费用，不再需要扣除免赔额，免赔额为0元。情况二：若张女士等待期后不幸初次确诊罹患恶性肿瘤且住院治疗，由于是合同定义约定的重大疾病出险，自确诊之日起张女士保险合同的免赔额为0.张女士丈夫和女儿则继续共享1万元的年免赔额。家庭成员：配偶、父母（含配偶父母）、子女。
E家平安·百万医疗险是否保新冠肺炎？,E家平安·百万医疗险没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
曾确诊过新冠肺炎的客户能否购买我司的百万医产品？,我司百万医产品没有除外因新冠肺炎，但是产品健康告知及智能核保问卷中有关于传染病和肺炎的问题，被保人如实填写健康告知（含智能核保问卷）后，若核保结论为可承保，则可以正常投保我司的百万医产品。保险等待期及免赔额需遵循合同特约及保险条款中的相关约定。
已购买/即将购买我司百万医产品的客户，后续如果确诊新冠疾病，是否可以申请理赔？,我司百万医产品没有除外因新冠肺炎产生的医疗费用，在保险责任范围内的治疗费用，均可正常申请理赔。保险等待期及免赔额需遵循合同特约及保险条款中的相关约定。理赔规则以理赔部意见为准。
在线问诊及药品服务内容是什么？,被保险人自保险生效日后第30天起，可在授权服务商处使用在线问诊服务，经诊断罹患健康管理服务手册载明的35种特定疾病外，授权服务商根据健康管理服务手册载明的服务内容及其所开具的处方，向被保险人提供药品费用金额80%的抵扣服务，被保险人自付药品费用金额20%。单次药品直付服务额度为500元，超出部分亦由被保险人自行承担；累计提供的药品服务次数为10次，累计服务额度5千元；登录平安好生活app，在首页-我的-我的卡券选择“奋斗无忧药品抵扣服务”卡券即可享用健康管理服务。
平安奋斗无忧百万医疗险是否保新冠肺炎？,平安奋斗无忧百万医疗险没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
投、被保人是什么关系?,目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。
E生平安·百万医是否保新冠肺炎？,E生平安·百万医没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
保单生效日是什么时候？,投保成功后，次日零时。
投、被保人关系怎么确定？,目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。
E家平安(升级版)是否保新冠肺炎？,E家平安·百万医疗险（升级版）没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
特定疾病是哪些？,特定疾病分为两个部分特定疾病医疗费用保险责任的120种特定疾病中包含恶性肿瘤-重度、急性心肌梗塞、脑中风后遗症、冠状动脉搭桥术等常见重大疾病，具体疾病种类见平安产险医疗保险（E款）条款。特定药品费用医疗保险责任的特定疾病主要指恶性肿瘤-重度、恶性肿瘤-轻度及原位癌。
质子重离子怎么保/赔？,质子重离子放射治疗而发生的相关费用，包括膳食费、护理费、医生费、检查检验费、治疗费、药品费100%赔付；但本项责任下不包括化学疗法、放射疗法、肿瘤免疫疗法、肿瘤内分泌疗法和肿瘤靶向疗法所产生的医疗费用。
升级了哪些内容？,1、600万高保额，覆盖一般医疗疾病和120种重大疾病；2、针对家庭保单推出全家共摊免赔额，一般医疗险理赔总达不到免赔额的难题不再有；3、更有5大增值服务：1）不限次住院垫付，不再为治疗费发愁；2）重疾绿通，专家二诊，手术安排，不再为住院手术犯难；3）家庭医生不限次电话问诊服务，小病不用去医院，随时随地就能看医生；4）名医点诊，专科问题指定名医；5）安心陪诊，护理顾问陪同就诊；
保险责任有哪些？,提供的保障包含600万百万医疗保险保障与增值服务保障两部分:1、600万保额百万医疗保险保障:300万保额的一般医疗费用保障+300万保额的120种特定重疾医疗费用保障+100万保额的质子重离子医疗费用保障+300万保额特定药品费用保障。2、家庭组合投保全家共享5000免赔额，重疾0免赔。3、增值服务:住院垫付、重疾绿通、家庭医生、名医点诊、安心陪诊、住院护理及特药服务。
