question,answer
积分的获取方法,"您好，积分获取方式为：

签到赚积分、做任务赚积分、分享赚积分。可用于兑换各类好礼、车服务权益等，包括美容养护类、维修保养类、汽车服务类、本地生活类。"
进度查询,
怎么联系客服,您好，如需联系人工客服，可拨打平安24小时统一客服热线：95511，车险咨询投保热线：4008000000。
年检前需准备的内容,您好，年检前需准备的内容如下：1、年检前需把车辆的交通违法记录处理完，该交罚款的记得需要先去交完罚款；2、若车灯、后视镜等外观配件受损需及时更换，私自改装车灯在年检时也存在一定风险哦；3、年检前最好先去维修点检测下车辆有无故障，特别是制动方面，这点不仅是为了应付年检，更是为了自身安全考虑；4、车辆的尾气排放是否达标，如果需要更换环保标志，提前到环保局的汽修厂测完尾气，节省时间；5、所需材料：车主身份证原件和复印件、机动车行驶证原件、交强险保险单副本原件、年审当年的车船税发票原件及复印件。三角警示灯，灭火器，并确保气压标识位于绿色正常范围内。同时，因为需要验外观拍照，所以验车前最好先洗车。当然啦，如果爱车属于公司单位旗下，那还得带上单位相关证明。★温馨提醒：因各地政策不一样，具体请根据所在地车管所规定为准。
如何查看保险详情,您好，您可通过以下方式查看保险详情：1、可点击 查保单 →车险或财产意外险，即可查询到保险责任、投被保人信息、保险条款等详细信息；2、也可点击 找保险 ，选择您想要了解的产品，进入保险详情页面，即可查看保额、保障范围、投被保险人要求、保险条款等信息。
兑换专区无法使用,您好，因APP系统升级等原因，导致部分功能暂时无法使用，建议尝试刷新或退出后重新登录软件，若多次尝试后仍无法使用，请稍后再试，我们会尽快修复系统问题。
绝对免赔率定义,您好，绝对免赔率是被保险机动车发生主险约定的保险事故，保险人按照主险的约定计算赔款后，扣减本特约条款约定的免赔。 投保时如果选择此附加险，可以降低保费，但在理赔时会扣减条款约定的免赔。 例如： 当您选择20%的绝对免赔率时，您需要自己承担这20%的损失金额。投保时未选择此附加险，在保险责任范围内正常赔付。
车辆维修进度查询,您好，由于车辆维修进度是由修理厂全权负责，维修过程保险公司不做参与，故无法获取维修进度信息，如需了解维修进度，您可直接联系所在维修厂咨询或联系负责此案件的定损员。
平安车险|在线自助投保,
活动礼品未收到,您好，礼品、福利是统一发放的，若超出承诺时效，您可以直接联系专属客户经理帮您加急核实一下，感谢您的支持。?★温馨提醒： 您可以尝试用投保手机号码通过APP底部→我的→ 我的卡券 ，查询卡券类福利。
APP活动奖品配送地址变更,您好，若下单成功后若需要修改地址，您可在订单详情页联系商家客服修改。
需要做什么验证才能看到保单,您好，您可通过绑定本人银行卡或通过人脸识别以通过实名认证，完成认证后可查询实名信息名下保单。
对理赔金额有质疑,"您好，案件理赔金额是在已确定的损失金额基础上按照客户购买的保险情况和保险条款规定来计算，如有疑问，可联系案件理赔员或理赔部核实确认；
若在保险合同履行过程中双方发生争议的，不能协商解决的，可以达成仲裁协议通过仲裁解决，也可依法直接向有管辖权的法院提起诉讼。"
车险支付途径,"您好，您可通过APP底部→我的→我的订单→ 车险订单 →选择对应订单，使用银行卡（借记卡/信用卡）、支付宝等方式进行保费支付。

★温馨提醒：
由于行业平台负荷问题，部分地区微信支付暂不可用，带来不便非常抱歉。"
无法使用,
年检提醒显示不对,您好，年检提醒是默认按您保单上注册日期进行计算的，如需获得更精准的年检提醒，您可通过APP首页→ 年检代办 →点击车牌旁边的“切换按钮”→选择对应车牌向左滑动→编缉，更改注册日期，手动校准。
如何取消保单托管业务,您好，通常长期寿险保单才需要托管，如果需要取消可以联系寿险业务专员协助处理。
机动车保险的投保方式,"您好，目前可以通过以下几种渠道购买车险及报价：

（1）通过平安好车主APP，点击“首页”→ 买车险 报价办理；
（2）官方微信公众号：“平安好车主”官方微信（可购买商业险和交强险）；
（3）拨打4008000000购买（周一至周日8:00-20:00）；
（4）登陆 平安官网 报价办理；
（5）保险公司门店、车行4S店、寿险综拓业务员、各保险代理公司的业务员。

★温馨提醒：
某些车型可能会受渠道限制，建议可根据实际情况联系专属客户经理确认。"
重复扣款怎么办,您好，若发现重复支付订单的情况，您可在下方问题描述中填写：订单号及手机号，及订单支付截屏，提交专员核实处理。
兑换专区商品和服务兑换范围是否有限制,"您好，兑换专区商品和服务兑换范围如下：

实物商品：实物商品支持全国配送；
服务项目：服务可选择当前地区任何在商城能查到的网点进行服务兑换。"
年检代办申请后的操作流程,"您好，平安好车主年检代办申请后的操作流程如下：

1、您可通过APP首页→ 年检代办 →按照步骤填写相关信息提交订单支付后，平安授权合作供应商会与您电话沟通年审相关事项；
2、合作商会帮您查询车辆违章，并可协助您完成违章处理；
3、您需要提前准备好年检所需资料并通过快递寄送给平安授权合作供应商； 针对满6年的上线年检车辆，经纪人上门接收车辆和年检所需资料，或您自驾到检测站转交给经纪人；
4、年检完成，平安授权合作供应商将资料及年检合格标志寄回给您；针对6年以上需上线检测车辆，经纪人将资料、年检合格标志及检测费发票寄还给您或上门送还。

★温馨提醒：
平台暂时只能代办部分地区投保车险的年检服务，若非平台年检代办服务，请您联系专属客户经理核实。"
使用卡券是否需付费,您好，平安好车主的优惠券通常分为免费券和费用抵扣券。使用免费券时无需支付额外费用，使用费用抵扣券时可能需要自行承担部分费用，具体详情您可点击 我的卡券 进行查阅。
让专属客服人员联系我,很抱歉，安安无法为您直接通知您的专属客户经理，您可拨打95511语音报出“找坐席”就可以自动为您转接。
如何申办国际驾照认证件？,您好，您可通过APP首页→享服务→更多→ 国际驾照 ，进入页面填写驾照信息，且填写快递地址，支付快递费后，由租租车做好国际驾照认证件并快递给客户。
机动车商业险是否必须投保,您好，机动车商业险无强制投保要求，是投保人自愿选择投保的。如果您没有投保商业险，而发生事故超出交强险赔付限额的损失需要您自行承担。
无法查询优惠券,您好，优惠券无法查询存在以下几点：1、投保手机号与注册登录账号不一致，需使用投保手机号登录查询；2、优惠券发放会有延迟，建议2个工作日后查询；3、若优惠券已过期，需在 我的卡券→卡券使用记录→【已过期】中查询；4、若无以上问题，您可退出APP后重新登录再尝试查询。
车险维修费支付说明,您好，因赔款是理赔部根据客户上交的修车发票及相关理赔材料审核后赔付的，故修车费需要先行垫付。但为规避风险，建议您不要在工作人员不在场的情况私自支付对方任何费用。若需要支付修车费用，请在交警和工作人员的指引下操作，避免对您后续的车险理赔造成影响。
车险人伤是否有调解服务,您好，我们公司在当地门店有车险人伤调解服务，如您需申请了解可以联系人伤专员。
如何查询车险定损明细,"您好，您可通过APP首页→ 办理赔/报保险 →赔案查询→定损明细，即可查询定损详情。如有问题，可直接联系案件定损员进行处理。

★温馨提醒： 
只有定损完成后系统才会显示“定损明细”。定损明细中显示定损总价及维修的部位（不显示每个部位的详细金额）。"
怎么辨别是不是平安的短信,安安不太明白您的意思，要不您换个问法再试试，或许安安就能明白啦！
每月礼包不实用,您好，每月礼包福利会不定期更换，具体以实际下发为准，您也可以通过APP首页→ 活动中心 ，参与其它活动。
如何删除订单,"您好，您可以进入平安好车主底部→我的→ 我的订单 ，对已完成的订单有“删除”按钮可直接操作。

★温馨提醒：
若页面未带出“删除”按钮，可能是在途订单，目前在途无法删除，请谅解。"
实物理赔确认书是什么,"实物赔付确认书是指被保险人同意以实物赔付的形式，完成对保险事故的赔偿，不再进行现金赔付的书面证明。
以车险为例，出险后签订实物赔付确认书，车辆将交付给与保险公司合作的修理厂，由其进行修复，车辆修复完成后，保险公司与修理厂结算修复费用，不需要车主垫付费用，也不再赔付保险金。"
平安好车主上提示到门店去办理的原因,您好，提示到门店去办理是因为部分信息需要公司人员与车管平台、行协平台、税务平台等公共平台确认，您可输入“转人工”由人工核实处理。
非车险无法报价的原因,"非车险报价不通过的原因如下：

1、不符合投保条件（年龄、职业等）；
2、投保人和被保险人信息不正确；
3、部分机构产品销售范围受限；
4、系统问题（系统升级或维护）。
注：若有疑问，可联系在线客服咨询。"
查询车险车架号,安安不太明白您的意思，要不您换个问法再试试，或许安安就能明白啦！
车险代办年审费用咨询,您好，符合免费代办条件的年审一般都是免代办服务费的，若不符合免费代办的年审会收取一定的服务费，具体金额您可通过APP首页→ 年检代办 中进行查看。年审过程中产生的其他费用是需要您自行承担，具体情况可以预约后与服务商核实。
未收到,
非事故道路救援的次数说明,"您好，投保商业险的9座以下非营业客车，即有机会享有免费非事故道路救援权益，具体免费使用次数以保单中载明的次数为准。

★温馨提醒：
剩余服务次数可通过APP首页→ 道路救援 →填写相关信息→增值条款权益，即可显示赠送次数及已使用次数。"
非事故免费救援的服务条件,您好，承保平安车险商业险的9座以下非营业客车，商业险保单中载明附加机动车增值服务特约条款（道路救援服务特约条款）的车辆可享免费道路救援服务权益，可使用免费服务次数以保单内载明的赠送次数为准。
车险的理赔原则,您好，车险理赔中应当遵循先交强险后商业险的赔偿顺序。先由保险公司在交强险责任限额范围内予以赔偿，超过交强险责任限额的部分，如果您已经投保了商业三者险，则保险公司按照交警事故责任划分比例在商业三者险合同约定中计算理赔，超出商业三者险限额的部分由个人承担；如果您没有投保商业三者险，超出交强险剩余部分事故责任范围内由客户个人承担。
车辆年检办理地址咨询,"您好，您可通过APP底部→享服务→ 年检代办 页面进入查询，列表所列检测站为与服务商有合作的检测站。符合条件您可直接在线申请，若您不符合则需要您自行到当地车管所处理，详细地址请咨询当地车管所。

★温馨提醒：
如代办年检时显示定位城市有误，您可使用平安好车主首页顶端定位功能，手动选择当前城市。"
保险福利获取时效,您好，保险投保的相关福利（保养券、优惠券、实物礼品等）是由后台管理人员核实信息后放入系统内的，请您耐心等待，若长时间未收到，您可联系专属客户经理核实处理。
如何处理过户车辆保险,"您好，车辆过户保险处理方式如下：

1、保险过户：可通过APP首页→查保单→ 信息修改 →选择险别（商业险、交强险）→过户，根据提示操作进行修改，按照提示操作；
2、保单退保：您可通过APP首页→查保单→ 信息修改 →选择险别（商业险）→退保，按页面信息操作即可。但交强险需满足各地退保要求才可退保。"
批改相关问题,
在线减保车险险别的方式,"您好，好车主在线减保车险险别的方式如下：

1、您可通过好车主APP首页→查保单→ 保单批改 →选择险别(商业险)→进入修改→选择需要减保的险别，进入操作页面；
2、如需要退保某一险别，请在“险别变更”页面取消勾选该险种；对于存在保险金额栏的，也可以在不退保该险别的情况下，向下调整保险金额来减少保障。提交申请后需核实批改信息，并确认申请。

★温馨提醒：
因各地政策差异，部分险别可能无法在好车主上减保，如有需要，请联系人工客服为您处理。"
申请平安好车主信用卡的方式,您好，您可通过APP首页→更多→金融服务→ 信用卡 →立即办卡。
车门被锁能否申请救援,您好，因无法证明车辆归属，所以车门被锁或车钥匙丢失，不在非事故救援范畴内。
误工费是否赔偿,
签到积分规则,"您好，平安好车主APP签到积分规则如下：

1、2021年1月1号开始，每日连续签到奖励改为每月连续签到奖励；
2、不同等级每日连续签到积分奖励不同，请以页面为准；
3、当月连续签到1至14天获得不同的积分奖励，积分逐渐递增。当月连续签到15天及以上，即可获得最高积分奖励；如保持连续签到，可一直获得最高奖励至月末；
4、用户完成补签任务，可以获得补签卡；
5、次月1号开始，重新计算每月连续签到天数与签到积分。"
无法报价,
新车投保流程,"您好，如果您已经拿到车辆发票或者合格证，您可通过APP首页→ 买车险 ，输入相关信息即可报价及投保。

如果您还没有新车的相关信息，信息填写示例：
选择投保城市→填写车牌号码时，勾选“新车未上牌”→车架号填写“L1234561234561234”，发动机号填写“123456”→正确填写车型→进行保费计算。（注：示例车架号及发动机号仅供算价使用，不可直接进行投保。）"
油卡充值能不能开发票,您好，油卡充值为第三方加油卡代充服务，不支持开具发票，也不支持到加油站开具发票。
车险定损有异议反馈通道,您好，对车辆定损有异议可以在案件交单状态下，通过APP首页→ 办理赔/报保险 →赔案查询→“定损明细”进入定损详情→异议反馈；若页面找不到，可以联系定损人员核实处理。
什么是车辆损失险,您好，车辆损失险是指在保险期间内，保险人在责任范围内赔偿由于自然灾害、意外事故造成的被保车辆自身损失。同时被盗窃、抢劫、抢夺、玻璃单独破碎、自燃、发动机涉水损坏造成的损失也在赔偿范围内。
兑换专区礼品缺货的处理方法,"您好，兑换专区礼品已下架或缺货，您可在商品详情页右上角，点击联系商家，咨询商品供货信息。

★温馨提醒：
商品售罄后，会在1-2个工作日补货，请您过段时间再来操作。"
如何查看卡券兑换码,您好，您可点击 我的卡券 ，找到对应的卡券点开查看即可。
同一被保险人所有的不同车辆相互碰撞是否赔付,"您好，车险事故中，同一被保险人所有的不同车辆发生碰撞是否赔付：

同一被保险人的车辆相互碰撞后可以向我司申请理赔，但两车不能互为第三者，如果车辆投保了车损险，则在各自车辆损失险中处理。

★温馨提醒：
根据您的描述无法准确判断您的损失是否在保险责任范围内，若您的车辆有发生事故，建议尽快报案，由工作人员为您核实处理。"
违章无法查询,您好，若违章无法查询，可能是数据同步时产生误差及迟缓造成的，建议您通过软件商城下载【交管12123】APP进行查询，给您带来的不便，敬请谅解。
验车,
限定车牌的券其他车辆能否使用,您好，若卡券中有显示车牌号，需限定车牌的车辆使用；若卡券中未显示车牌号，则不限定使用车辆。
商业险保单中没有显示第三者责任险,您好，APP上的信息都是根据保单信息显示，如果在APP上的商业险保单里没有看到第三者责任险，请核实是否有投保第三者责任险；若您的第三者责任险属于后续加保的，您可通过平安好车主首页→查保单→更多→ 变更查询 ，即可查看和下载保险批单。
网点核销不了卡券,"您好，若卡券不能使用，您可通过以下方式处理：

1、系统问题，可以先尝试退出APP后重新登陆试一下；
2、卡券需在有效期内使用，您可通过APP首页→ 用卡券 ，核实卡券有效期。

★温馨提醒：
卡券使用前，请先查看使用说明，部分卡券仅支持固定商家使用。"
企业或机关如何投保车险,您好，目前在线投保支持个人名下家用客车及货车的报价与投保，公司车投保报价可咨询客服热线4008000000-1，或下载 平安企业宝 ，通过APP首页底部→保险→经营必备→企业车险，进入即可报价投保。
上海保险延期说明,"您好，上海商业险保单延期方式如下：

1、非营业车辆：符合延期条件的非营业车辆商业险保单由车险信息平台负责在8月31日前完成统一延期30天，延期后我司会统一短信通知，届时您可通过平安好车主APP首页→ 查保单 进行查询；
2、营业车辆：符合保单延期的营业车辆，需在2022年8月31日前联系专属客户经理，向我司提交相关书面申请材料，经上报审核后，对符合车险保期延长的车辆进行停驶批改服务，完成后出具延期30天变更的电子单证作为延期凭证。"
门店信息查询,您好，您可通过APP首页→ 服务地图?→平安门店，即可查询门店信息（地址、电话、时间）。
卡券提示异常如何处理,您好，使用年检代办卡券时出现异常，可取消卡券勾选，即可正常下单。
优惠券没用但显示已经使用,"您好，若优惠券未使用系统显示已经使用，一般是因为下了订单没支付，优惠券被占用了，您可通过APP底部→我的→ 我的订单 ，取消待支付订单，即可看到您的优惠券。

★温馨提醒：
若服务商重复核销，建议与服务商沟通处理。"
无法查询服务门店地址处理方法,"您好，如果您无法查询对应的服务券使用网点，请尝试刷新或退出后重新登录软件，稍作等待。 

★温馨提醒：
1、若已刷新或退出后重新登录软件还是无法显示，请在首页切换定位为车险承保地再次查询；
2、若切换至承保地还是无法查询，可能是有些商家已经下架，系统没及时更新所导致，建议您联系专属客户经理核实。"
车险信息修改,"您好，您可以通过以下方式修改车险信息：

1、如您还未提交订单，可以直接在报价的页面修改；
2、如您提交了投保单还未支付，可以重新提交订单；
3、如您支付成功，已生成保单号，您可通过APP首页→ 查保单 →选择需修改的保单 →信息修改，根据实际情况进行修改。

★温馨提醒：
公司/团体车辆变更请下载 企业宝 进行操作。"
兑换专区实物礼品详情,
线上投保是否安全,您好，您通过平安集团官方渠道投保，我们会对您的资料进行严格保密，支付方式快捷安全多样化，是完全值得您信赖的。
会员每月礼包权益说明,"您好，会员每月礼包权益说明：

1、每月可免费领取一次；
2、礼包奖励：积分、话费、油卡、视频卡等礼品，每月惊喜礼包福利以实际下发为准。"
如何上传验车照片,您好，若投保车险时系统提示需要验车，有验车权限的用户，您可通过APP底部→我的→ 我的订单 →点击蓝色【验车】按钮→立即验车； 若未显示验车按钮，您可点击 门店预约 到平安门店处理，预约后会有专人联系您。
如何确定车险人伤误工费,"车险人伤误工费根据受害人的误工时间和收入状况确定：

1、误工时间根据受害人接受治疗的医疗机构出具的证明确定。受害人因伤致残持续误工的，误工时间可以计算至定残日前一天；
2、受害人有固定收入的，误工费按照实际减少的收入计算。受害人无固定收入的，按照其最近三年的平均收入计算；受害人不能举证证明其最近三年的平均收入状况的，可以参照受诉法院所在地相同或者相近行业上一年度职工的平均工资计算。"
报价还能便宜么,您好，若您填写的信息准确，页面显示的报价即为最终价格，您可以点击 买车险 ，进入了解车险保费详情，或联系您的专属客户经理了解具体价格。
保险问题,
保险投保险种查询,您好，您可通过APP首页→查保单→ 电子保单 →选择车险或非车险，即可查询具体的险种明细。★温馨提醒：若您是支付成功后增加的险种，可点击 变更查询 查看。
车牌批改信息未同步的处理方式,"您好，如果您已经通过其他方式（例：电话，APP，网页自助等方式）更正了您的车牌号，但是在APP中显示的还是原来的信息，并未更新。请尝试将车辆解绑后重新绑定。

★温馨提醒：
APP批改车牌后存在更新同步延时，请1小时后再进行查询。"
新车相关问题咨询,
人脸识别不通过的原因,"您好，如排除设备问题，无法通过人脸识别的其他原因如下：

1、未按照界面提示，眨眼三次进行活体识别；
2、人脸识别的对象不是投保人或被保险人；
3、本人与身份证照片差异较大，需要您至当地派出所更新身份证照片。

★温馨提醒：
人脸识别受光线、设备影响较大，需要在光线充足的情况下，正对摄像头操作。"
车辆定损后能否更换维修厂,您好，通常情况下车辆定损后需按该定损标准提供修车发票，如果需要更换修理厂请联系定损员核实处理。
加油充值失败的原因,"您好，加油充值失败原因有以下可能：

1、卡号错误，因为APP的充值端口不提供验真功能，所以请仔细核对充值卡号与客户的实物卡号是否一致；
2、非主卡（充值仅适用于加油主卡），充值卡号必须是主卡，副卡不能充值。如果是老卡，需要联系中石化、中石油的客服处理解决；
3、系统/供应商/官方问题，请留意中石化、中石油的官方公告，有可能是中石化、中石油暂时关闭了端口，充值失败，退款将在1-7工作日内原路返回；
4、加油充值成功后充值款存入备付金账户中，需前往加油站联系工作人员或加油站内的自助圈存机进行圈存，圈存后即可使用IC卡加油。（如果是中石化多用户卡，需先拨打中石化官方热线电话进行预分配，才能圈存）。
5、如油卡充值失败，烦请与中石化、中石油确认油卡是否属于过期状态，如卡片过期将无法充值。
若仍无法充值，建议您联系加油厂商；加油券无法使用，建议联系客服核实处理。

★温馨提醒：
各供应商联系方式为：
1、湖北宽通客服电话：4001561880；
2、官方客服电话：
中石化客服电话：95105888/95105988；
中石油客服电话：95504。"
E生平安·中老年人防癌险(互联网版)二个保障计划的区别,您好，E生平安·平安E生平安·中老年人防癌险(互联网版)二个保障计划的区别：计划二相较于计划一扩展了医院范围，包含特需部。
车辆损失险保障范围,"您好，车辆损失险保障范围如下：

1、被保险人或被保险机动车驾驶人（以下简称“驾驶人”）在使用被保险机动车过程中，因自然灾害、意外事故造成被保险机动车直接损失，且不属于免除保险人责任的范围，保险人依照本保险合同的约定负责赔偿；
2、被保险机动车被盗窃、抢劫、抢夺，经出险地县级以上公安刑侦部门立案证明，满60天未查明下落的全车损失，以及因被盗窃、抢劫、抢夺受到损坏造成的直接损失，且不属于免除保险人责任的范围，保险人依照本保险合同的约定负责赔偿；
3、发生保险事故时，被保险人或驾驶人为防止或者减少被保险机动车的损失所支付的必要的、合理的施救费用，由保险人承担；施救费用数额在被保险机动车损失赔偿金额以外另行计算，最高不超过保险金额。
注：车险综合改革后，将盗抢险、玻璃单独破碎险、自燃险、发动机涉水行驶损失险及无法找到第三方特约险等均并入车损险保障范围，无需单独投保。"
兑换专区订单信息无法查询,"您好，订单信息无法查询原因：

1、物流信息无法查询可能是由于商家未发货或后台物流信息未更新，建议您联系商家核实处理；
2、订单信息无法查询可能是因APP升级或网络的原因，会导致部分功能暂时无法使用，请您尝试刷新或退出后重新登录软件。

★温馨提醒：
商家补发物品的物流信息不会在订单中显示，您可以在APP消息中查看。"
未经被保险人同意为何赔款,您好，若案件未经被保险人同意直接赔付，建议联系负责的理赔员核实。
报价和之前不同,报价会因险种保额、报价时间、投保城市产生差异，如若您填写的信息准确，页面显示的报价即为最终价格，具体情况建议您联系专属客户经理核实。
北京、天津、河北、宁夏交强险费率浮动说明,"您好，北京、天津、河北、宁夏地区交强险费率浮动比率如下：

A1：上一个年度未发生有责任道路交通事故，浮动比率-15%；
A2：上两个年度未发生有责任道路交通事故，浮动比率-25%；
A3：上三个年度未发生有责任道路交通事故，浮动比率-35%；
A4：上一个年度发生一次有责任不涉及死亡的道路交通事故，浮动比率0%；
A5：上一个年度发生两次有责任不涉及死亡的道路交通事故，浮动比率10%；
A6：上一个年度发生有责任道路交通死亡事故，浮动比率30%。

★温馨提醒：
部分地区还受到道路交通安全违法行为影响，详细可向当地承保部门咨询。"
查询卡券内容,您好，您可通过APP底部→我的→ 我的卡券 中查看卡券内容、使用说明及注意事项。★温馨提醒：已兑换卡券的ID可以通过APP底部→我的→ 我的订单 →选择对应卡券订单→下方查看订单详情→查看兑换详情，即可查看。
车险救援申请客服热线,"您好，车险救援可通过APP首页→ 道路救援 申请，或拨打客服热线95511。

★温馨提醒：
若已申请道路救援服务，救援师傅电话可通过救援页面，点击联系师傅，即可看到救援师傅的电话号码。"
商业险包含的险种,"您好，商业险包含3大主险和附加险：

3大主险如下：
1、车辆损失险；
2、商业第三者责任险；
3、车上人员责任险。
附加险如下：
1、附加绝对免赔率特约条款；
2、附加车轮单独损失险；
3、附加新增加设备损失险；
4、附加车身划痕损失险；
5、附加修理期间费用补偿险；
6、附加发动机进水损坏除外特约条款；
7、附加车上货物责任险；
8、附加精神损害抚慰金责任险；
9、附加法定节假日限额翻倍险；
10、附加医保外医疗费用责任险；
11、附加机动车增值服务特约条款。"
加油发票未盖发票章,您好，正规的加油发票都会盖发票章。若未显示发票章一般是打开显示的问题，您可点击发票链接下载发票文件，尝试用电脑打开发票文件查看。
会员权益如何领取,"您好，您可通过APP底部→我的→ 会员中心 ，即可领取相应的会员权益。

★温馨提醒：
1、部分权益有领取时间限制，请及时领取；
2、因机构政策影响会导致部分权益无法领取，具体以页面展示为准。"
支付页提示“出错啦！”的原因,"您好，可能产生的原因有：

1、核保不通过；
2、系统网络异常；
3、订单状态异常，比如已支付或已失效。目前我们的支付平台已兼容主流的所有浏览器（含PAD），如果不是极其少见的浏览器，是不存在兼容性问题的。

★温馨提醒：
您可通过APP底部→我的→ 我的订单 ，选择对应订单重新支付。"
车险理赔是否提供三者方救援发票,您好，车险理赔时对方有涉及到救援的需要提供救援发票，但是具体案件是否提供可以联系查勘定损员确认。
财意险的解释,"您好，财意险是保险部门对财产险和意外险两种保险的合称。
1、财产保险业务：包括财产损失保险、责任保险、信用保险、保证保险等保险业务。可保财产，包括物质形态和非物质形态的财产及其有关利益。以物质形态的财产及其相关利益作为保险标的的，通常称为财产损失保险；
2、意外伤害保险：是以意外伤害而致身故或残疾为给付保险金条件的人身保险。

为您推荐以下产品??"
投保后如何领取保单,"您好，投保后领取保单的方式如下： 

车险：若投保时选择配送，在您投保成功后3个工作日安排师傅配送或邮寄；若投保时选择门店自取，需自行前往投保所在门店领取（已实行电子保单的城市，不再配送纸质）；
非车险：其他保险提供电子保单无需配送，直接发送电子档保单至邮箱。

电子保单可通过APP首页→查保单→ 电子保单 →选择对应险种，进行查看。

★温馨提醒：
部分城市单独购买交强险暂不支持配送。"
如何比较类似的非车产品,若出现两款及以上保障类似的非车产品需要选择比对时，可对各产品的保障详情、保障范围、保障额度以及适用对象等分别进行比较。
批改/过户需要选择本地证明的情况,"您好，在线批改/过户车险保单时，以下2种情况，使用证明需选择【已提供】，其余情况选择【未提供】：

1、车辆车牌为本地车牌，如广东为粤牌、深圳为粤B车牌，山东为鲁牌、青岛为鲁B&鲁U；
2、投保人为本地人/本土企业。

★温馨提醒：
如选择错误的话对保单批改没有影响，只是有可能会增加一个验车的环节，具体是否需要验车取决于当地批改部门政策。"
如何注销案件,"您好，您可通过APP首页→ 办理赔/报保险 →根据案件类型进入【车险案件】或【非车险案件】，切换至对应的案件并点击“取消案件”，输入验证码并签署放弃索赔申明。

★温馨提醒：
1、成功注销的案件不影响来年保费；
2、若您已报案成功，但是不想继续理赔，建议您务必进行撤销报案的操作哦。"
如何查询个人信息,您好，您可以通过平安好车主底部→我的→点击头像，即可查看您的个人信息。
如何选择保险产品,"您好，您可按照以下方式选择保险产品：

车险：进入报价页面后，系统会根据您输入的信息推荐方案。若您对当前方案不满意，可以点击“修改方案”进入险种选择页面进行调整；
其他保险：您可通过APP底部→ 找保险 ，热销产品或保险类别（意外、健康、财产等）进行选择。

为您推荐以下产品??"
商城订单配送时效,您好，商城订单配送时效大致参考如下：1、京东商品：一般地区3~5个工作日，偏远地区延长至7个工作日；2、其他供应商：一般都是7~15个工作日。
门店地址,
如何获得卡券,"您好，您可通过以下方式获取卡券：

1、通过APP首页→ 活动中心 ，参加相关活动有机会获取活动卡券；
2、通过APP底部→我的→ 会员中心 ，参加相关活动有机会获取活动卡券。

★温馨提醒：
卡券可在APP底部→我的→ 我的卡券 进入查看。"
报案时效,您好，报案时效要求如下： 车险：车辆发生保险事故时，请在事故发生后48小时内报案； 意健险：一般要求在事故发生后5天内报案，建议当天报案（上海家政卡要求在出险后3天内必须报案）； 财产险：暂无明确规定，建议您发生事故后尽快报案。 ★温馨提醒：若事故已经超时效，建议您尽快报案，报案后也会有工作人员协助您处理。
加油券使用说明,"您好，加油券的使用说明：

您可通过平安好车主底部→我的→ 我的卡券  选择加油券进行使用。

★温馨提醒：
1、卡券明细及使用方式可点选对应卡券查看；
2、加油券不支持线下加油使用；
3、油卡充值优惠券需要绑定油卡使用。"
公司车、摩托车、农用车、营运车无法报价,您好，目前在线投保支持以下车型的报价与投保：家用车、投保人/车主/被保人均为个人的2吨以下非营运货车和十座以上非营运客车。如您需投保的车型不在上述范围内，可咨询服务热线4008000000-1，或点击 门店预约 咨询办理。
携号转网能否充值,您好，目前不支持携号转网用户在线充值，携号转网用户需前往当地营业厅进行充值。
参与活动时提示需要加车、验真的处理方式,"您好，参与活动时若出现提示需要加车或提示保单验真的情况，您可通过以下2种方式进行保单验真：

1、您可通过APP底部【我的】→【我的爱车】→ 车中心 进行保单验真；
2、也可通过APP底部【我的】→【我的保单】→ 电子保单 ，进行保单验真。

★温馨提醒：
若已完成保单验真还出现提示，请检查一下车中心是否绑定两辆车，需删除未验真的车辆，再参与活动；完成保单验真后需要等待24小时才可以参与活动。"
如何联系工作人员,您好，您有什么问题，可以先问安安哦~
车险续保方案与上年是否一致,您好，车险续保时，系统一般会自动带出您上一年的险种方案，具体险种可通过报价页面查看，如需更改，可选择自定义方案进行调整。
案件理赔未到账的原因,您好，理赔款未到账存在多种可能，如定损未完成、理赔材料未完全交付、已提交银行未到账等。您可通过APP首页→ 办理赔/报保险 →车险理赔/非车险理赔→赔案查询，即可查询理赔进度及到账情况，或联系理赔人员为您核实处理。
查询车险定损照片,"您好，您可通过进入APP首页→ 办理赔/报保险 →赔案查询→选择对应案件→点击“车损照片”即可查看对应案件的车损照片。

★温馨提醒：
因车辆定损照片是由案件定损员上传，若未查询到，请联系定损员查询。"
代办年检信息如何修改,您好，如需要修改代办年审信息，您可通过APP底部→享服务→ 年检代办 →年检订单→取消订单，重新填写信息。
什么是代位求偿权,"您好，代位求偿权又称保险代位权，是指因第三者对保险标的的损害造成保险事故的，保险人自向被保险人赔偿保险金后，依法享有的在赔偿金额范围内代为行使被保险人对第三者请求赔偿的权利。

★温馨提醒：
代位追偿案件均需要专业理赔人员根据案件实际情况进行评估处理，具体可联系理赔员咨询。"
洗车服务地址查询,"您好，洗车服务地址的查询方式分以下几种类型：

1、洗车卡券地址查询：可通过APP首页→我的→ 我的卡券 ，选择对应洗车券，即可进入查看服务内容及洗车网点；
2、车点点洗车查询：需关注微信公众号：“车点点”进行兑换，兑换后可在公众号中查询网点商家及使用信息。"
催办,
