平安百万交通出行意外属于什么险种	本产品属于健康险
雇主安心保·雇主责任险的最大亮点	工伤保险也能很简单
雇主安心保·雇主责任险的投保年龄要求	您好，本产品的承保年龄是16-80周岁
雇主安心保·雇主责任险的投保年龄不超过几岁	您好，本产品的承保年龄是16-80周岁
雇主安心保·雇主责任险多大才可以投保	您好，本产品的承保年龄是16-80周岁
雇主安心保·雇主责任险年龄是否有限制	您好，本产品的承保年龄是16-80周岁
雇主安心保·雇主责任险的保障期限是多久	您好，本产品的投保期限为一年
雇主安心保·雇主责任险可以保障多久时间	您好，本产品的投保期限为一年
雇主安心保·雇主责任险的价格区间	您好，本产品的最低保费是100.0元
雇主安心保·雇主责任险的投保价格区间	您好，本产品的最低保费是100.0元
雇主安心保·雇主责任险的收费标准	您好，本产品的最低保费是100.0元
雇主安心保·雇主责任险	本产品男女皆可投保，属于小微，投保年龄要求为16-80周岁，最低100.0元即可投保
介绍一下雇主安心保·雇主责任险	本产品男女皆可投保，属于小微，投保年龄要求为16-80周岁，最低100.0元即可投保
说说雇主安心保·雇主责任险	本产品男女皆可投保，属于小微，投保年龄要求为16-80周岁，最低100.0元即可投保
团意安心保2.0(总部版)属于什么险种	本产品属于小微
团意安心保2.0(总部版)对投保性别有什么要求吗	您好，本产品男女皆可投保
团意安心保2.0(总部版)有什么亮点吗	产品特色
团意安心保2.0(总部版)有什么特色吗	产品特色
团意安心保2.0(总部版)最大的优势	产品特色
团意安心保2.0(总部版)的最大亮点	产品特色
团意安心保2.0(总部版)的投保年龄要求	您好，本产品的承保年龄是18-65周岁
团意安心保2.0(总部版)的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
团意安心保2.0(总部版)多大才可以投保	您好，本产品的承保年龄是18-65周岁
团意安心保2.0(总部版)年龄是否有限制	您好，本产品的承保年龄是18-65周岁
团意安心保2.0(总部版)的保障期限是多久	您好，本产品的投保期限为按天/月/季/年投保均可
团意安心保2.0(总部版)可以保障多久时间	您好，本产品的投保期限为按天/月/季/年投保均可
团意安心保2.0(总部版)的价格区间	您好，本产品的最低保费是91.0元
团意安心保2.0(总部版)的投保价格区间	您好，本产品的最低保费是91.0元
团意安心保2.0(总部版)的收费标准	您好，本产品的最低保费是91.0元
团意安心保2.0(总部版)	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低91.0元即可投保
介绍一下团意安心保2.0(总部版)	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低91.0元即可投保
说说团意安心保2.0(总部版)	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低91.0元即可投保
团意安心保—系统功能问题下架属于什么险种	本产品属于小微
团意安心保—系统功能问题下架对投保性别有什么要求吗	您好，本产品男女皆可投保
团意安心保—系统功能问题下架有什么亮点吗	员工好福利，老板好安心
团意安心保—系统功能问题下架有什么特色吗	员工好福利，老板好安心
团意安心保—系统功能问题下架最大的优势	员工好福利，老板好安心
团意安心保—系统功能问题下架的最大亮点	员工好福利，老板好安心
团意安心保—系统功能问题下架的投保年龄要求	您好，本产品的承保年龄是18-65周岁
团意安心保—系统功能问题下架的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
团意安心保—系统功能问题下架多大才可以投保	您好，本产品的承保年龄是18-65周岁
团意安心保—系统功能问题下架年龄是否有限制	您好，本产品的承保年龄是18-65周岁
团意安心保—系统功能问题下架的保障期限是多久	您好，本产品的投保期限为按天/月/季/年投保均可
团意安心保—系统功能问题下架可以保障多久时间	您好，本产品的投保期限为按天/月/季/年投保均可
团意安心保—系统功能问题下架的价格区间	您好，本产品的最低保费是91.0元
团意安心保—系统功能问题下架的投保价格区间	您好，本产品的最低保费是91.0元
团意安心保—系统功能问题下架的收费标准	您好，本产品的最低保费是91.0元
团意安心保—系统功能问题下架	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低91.0元即可投保
介绍一下团意安心保—系统功能问题下架	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低91.0元即可投保
说说团意安心保—系统功能问题下架	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低91.0元即可投保
平安爱宠责任险(互联网版)属于什么险种	本产品属于财产险
平安爱宠责任险(互联网版)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安爱宠责任险(互联网版)有什么亮点吗	同时保障宠物主意外和三者责任
平安爱宠责任险(互联网版)有什么特色吗	同时保障宠物主意外和三者责任
平安爱宠责任险(互联网版)最大的优势	同时保障宠物主意外和三者责任
平安爱宠责任险(互联网版)的最大亮点	同时保障宠物主意外和三者责任
平安爱宠责任险(互联网版)的投保年龄要求	您好，本产品的承保年龄是16-80周岁的宠物主
平安爱宠责任险(互联网版)的投保年龄不超过几岁	您好，本产品的承保年龄是16-80周岁的宠物主
平安爱宠责任险(互联网版)多大才可以投保	您好，本产品的承保年龄是16-80周岁的宠物主
平安爱宠责任险(互联网版)年龄是否有限制	您好，本产品的承保年龄是16-80周岁的宠物主
平安爱宠责任险(互联网版)的保障期限是多久	您好，本产品的投保期限为1年
平安爱宠责任险(互联网版)可以保障多久时间	您好，本产品的投保期限为1年
平安爱宠责任险(互联网版)的价格区间	您好，本产品的最低保费是109.0元
平安爱宠责任险(互联网版)的投保价格区间	您好，本产品的最低保费是109.0元
平安爱宠责任险(互联网版)的收费标准	您好，本产品的最低保费是109.0元
平安爱宠责任险(互联网版)的保障范围	您好，平安爱宠责任险(互联网版)的保障责任及保额：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
平安爱宠责任险(互联网版)的保障内容	您好，平安爱宠责任险(互联网版)的保障责任及保额：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
平安爱宠责任险(互联网版)标的的内容	您好，平安爱宠责任险(互联网版)的保障责任及保额：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
平安爱宠责任险(互联网版)的责任	您好，平安爱宠责任险(互联网版)的保障责任及保额：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
平安爱宠责任险(互联网版)的保额	您好，平安爱宠责任险(互联网版)的保障责任及保额：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
平安爱宠责任险(互联网版)	本产品男女皆可投保，属于财产险，投保年龄要求为16-80周岁的宠物主，最低109.0元即可投保，主要承保责任为：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
介绍一下平安爱宠责任险(互联网版)	本产品男女皆可投保，属于财产险，投保年龄要求为16-80周岁的宠物主，最低109.0元即可投保，主要承保责任为：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
说说平安爱宠责任险(互联网版)	本产品男女皆可投保，属于财产险，投保年龄要求为16-80周岁的宠物主，最低109.0元即可投保，主要承保责任为：第三者医疗费用（2000元）、身故残疾保险责任（30000元）、医疗保险责任（2000元）、第三者身故伤残（30000元）、第三者医疗费用（1万元）、身故残疾保险责任（10万元）、医疗保险责任（1万元）、第三者身故伤残（10万元）
平安少儿意外保险(互联网版VIP客户专享)属于什么险种	本产品属于意外险
平安少儿意外保险(互联网版VIP客户专享)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安少儿意外保险(互联网版VIP客户专享)有什么亮点吗	呵护宝贝健康
平安少儿意外保险(互联网版VIP客户专享)有什么特色吗	呵护宝贝健康
平安少儿意外保险(互联网版VIP客户专享)最大的优势	呵护宝贝健康
平安少儿意外保险(互联网版VIP客户专享)的最大亮点	呵护宝贝健康
平安少儿意外保险(互联网版VIP客户专享)的投保年龄要求	您好，本产品的承保年龄是0-17周岁
平安少儿意外保险(互联网版VIP客户专享)的投保年龄不超过几岁	您好，本产品的承保年龄是0-17周岁
平安少儿意外保险(互联网版VIP客户专享)多大才可以投保	您好，本产品的承保年龄是0-17周岁
平安少儿意外保险(互联网版VIP客户专享)年龄是否有限制	您好，本产品的承保年龄是0-17周岁
平安少儿意外保险(互联网版VIP客户专享)的保障期限是多久	您好，本产品的投保期限为1年
平安少儿意外保险(互联网版VIP客户专享)可以保障多久时间	您好，本产品的投保期限为1年
平安少儿意外保险(互联网版VIP客户专享)的价格区间	您好，本产品的最低保费是31.0元
平安少儿意外保险(互联网版VIP客户专享)的投保价格区间	您好，本产品的最低保费是31.0元
平安少儿意外保险(互联网版VIP客户专享)的收费标准	您好，本产品的最低保费是31.0元
平安少儿意外保险(互联网版VIP客户专享)	本产品男女皆可投保，属于意外险，投保年龄要求为0-17周岁，最低31.0元即可投保
介绍一下平安少儿意外保险(互联网版VIP客户专享)	本产品男女皆可投保，属于意外险，投保年龄要求为0-17周岁，最低31.0元即可投保
说说平安少儿意外保险(互联网版VIP客户专享)	本产品男女皆可投保，属于意外险，投保年龄要求为0-17周岁，最低31.0元即可投保
个体商户店家宝属于什么险种	本产品属于小微
个体商户店家宝对投保性别有什么要求吗	您好，本产品男女皆可投保
个体商户店家宝有什么亮点吗	1天1块钱，保店又保家
个体商户店家宝有什么特色吗	1天1块钱，保店又保家
个体商户店家宝最大的优势	1天1块钱，保店又保家
个体商户店家宝的最大亮点	1天1块钱，保店又保家
个体商户店家宝的投保年龄要求	您好，本产品的承保年龄是18-65周岁
个体商户店家宝的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
个体商户店家宝多大才可以投保	您好，本产品的承保年龄是18-65周岁
个体商户店家宝年龄是否有限制	您好，本产品的承保年龄是18-65周岁
个体商户店家宝的保障期限是多久	您好，本产品的投保期限为1年
个体商户店家宝可以保障多久时间	您好，本产品的投保期限为1年
个体商户店家宝的价格区间	您好，本产品的最低保费是365.0元
个体商户店家宝的投保价格区间	您好，本产品的最低保费是365.0元
个体商户店家宝的收费标准	您好，本产品的最低保费是365.0元
个体商户店家宝	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
介绍一下个体商户店家宝	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
说说个体商户店家宝	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
个体商户店家宝属于什么险种	本产品属于小微
个体商户店家宝对投保性别有什么要求吗	您好，本产品男女皆可投保
个体商户店家宝有什么亮点吗	1天1块钱，保店又保家
个体商户店家宝有什么特色吗	1天1块钱，保店又保家
个体商户店家宝最大的优势	1天1块钱，保店又保家
个体商户店家宝的最大亮点	1天1块钱，保店又保家
个体商户店家宝的投保年龄要求	您好，本产品的承保年龄是18-65周岁
个体商户店家宝的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
个体商户店家宝多大才可以投保	您好，本产品的承保年龄是18-65周岁
个体商户店家宝年龄是否有限制	您好，本产品的承保年龄是18-65周岁
个体商户店家宝的保障期限是多久	您好，本产品的投保期限为1年
个体商户店家宝可以保障多久时间	您好，本产品的投保期限为1年
个体商户店家宝的价格区间	您好，本产品的最低保费是365.0元
个体商户店家宝的投保价格区间	您好，本产品的最低保费是365.0元
个体商户店家宝的收费标准	您好，本产品的最低保费是365.0元
个体商户店家宝	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
介绍一下个体商户店家宝	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
说说个体商户店家宝	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
店家宝(互联网)属于什么险种	本产品属于小微
店家宝(互联网)对投保性别有什么要求吗	您好，本产品男女皆可投保
店家宝(互联网)有什么亮点吗	1天1块钱，保店又保家
店家宝(互联网)有什么特色吗	1天1块钱，保店又保家
店家宝(互联网)最大的优势	1天1块钱，保店又保家
店家宝(互联网)的最大亮点	1天1块钱，保店又保家
店家宝(互联网)的投保年龄要求	您好，本产品的承保年龄是18-65周岁
店家宝(互联网)的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
店家宝(互联网)多大才可以投保	您好，本产品的承保年龄是18-65周岁
店家宝(互联网)年龄是否有限制	您好，本产品的承保年龄是18-65周岁
店家宝(互联网)的保障期限是多久	您好，本产品的投保期限为1年
店家宝(互联网)可以保障多久时间	您好，本产品的投保期限为1年
店家宝(互联网)的价格区间	您好，本产品的最低保费是365.0元
店家宝(互联网)的投保价格区间	您好，本产品的最低保费是365.0元
店家宝(互联网)的收费标准	您好，本产品的最低保费是365.0元
店家宝(互联网)	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
介绍一下店家宝(互联网)	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
说说店家宝(互联网)	本产品男女皆可投保，属于小微，投保年龄要求为18-65周岁，最低365.0元即可投保
平安爱宠保障卡(升级版)属于什么险种	本产品属于财产险
平安爱宠保障卡(升级版)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安爱宠保障卡(升级版)有什么亮点吗	守护爱宠日常疾病及三者责任
平安爱宠保障卡(升级版)有什么特色吗	守护爱宠日常疾病及三者责任
平安爱宠保障卡(升级版)最大的优势	守护爱宠日常疾病及三者责任
平安爱宠保障卡(升级版)的最大亮点	守护爱宠日常疾病及三者责任
平安爱宠保障卡(升级版)的投保年龄要求	您好，本产品的承保年龄是3个月至10周岁的宠物
平安爱宠保障卡(升级版)的投保年龄不超过几岁	您好，本产品的承保年龄是3个月至10周岁的宠物
平安爱宠保障卡(升级版)多大才可以投保	您好，本产品的承保年龄是3个月至10周岁的宠物
平安爱宠保障卡(升级版)年龄是否有限制	您好，本产品的承保年龄是3个月至10周岁的宠物
平安爱宠保障卡(升级版)的保障期限是多久	您好，本产品的投保期限为1年
平安爱宠保障卡(升级版)可以保障多久时间	您好，本产品的投保期限为1年
平安爱宠保障卡(升级版)的价格区间	您好，本产品的最低保费是799.0元
平安爱宠保障卡(升级版)的投保价格区间	您好，本产品的最低保费是799.0元
平安爱宠保障卡(升级版)的收费标准	您好，本产品的最低保费是799.0元
平安爱宠保障卡(升级版)的保障范围	您好，平安爱宠保障卡(升级版)的保障责任及保额：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
平安爱宠保障卡(升级版)的保障内容	您好，平安爱宠保障卡(升级版)的保障责任及保额：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
平安爱宠保障卡(升级版)标的的内容	您好，平安爱宠保障卡(升级版)的保障责任及保额：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
平安爱宠保障卡(升级版)的责任	您好，平安爱宠保障卡(升级版)的保障责任及保额：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
平安爱宠保障卡(升级版)的保额	您好，平安爱宠保障卡(升级版)的保障责任及保额：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
平安爱宠保障卡(升级版)	本产品男女皆可投保，属于财产险，投保年龄要求为3个月至10周岁的宠物，最低799.0元即可投保，主要承保责任为：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
介绍一下平安爱宠保障卡(升级版)	本产品男女皆可投保，属于财产险，投保年龄要求为3个月至10周岁的宠物，最低799.0元即可投保，主要承保责任为：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
说说平安爱宠保障卡(升级版)	本产品男女皆可投保，属于财产险，投保年龄要求为3个月至10周岁的宠物，最低799.0元即可投保，主要承保责任为：宠物意外疾病医疗责任（3万元）、宠物责任第三者身故伤残（5万元）、宠物责任第三者医疗（2000元）
平安学子卫士属于什么险种	本产品属于意外险
平安学子卫士对投保性别有什么要求吗	您好，本产品男女皆可投保
平安学子卫士有什么亮点吗	
平安学子卫士有什么特色吗	
平安学子卫士最大的优势	
平安学子卫士的最大亮点	
平安学子卫士的投保年龄要求	您好，本产品的承保年龄是5-18周岁
平安学子卫士的投保年龄不超过几岁	您好，本产品的承保年龄是5-18周岁
平安学子卫士多大才可以投保	您好，本产品的承保年龄是5-18周岁
平安学子卫士年龄是否有限制	您好，本产品的承保年龄是5-18周岁
平安学子卫士的保障期限是多久	您好，本产品的投保期限为1年
平安学子卫士可以保障多久时间	您好，本产品的投保期限为1年
平安学子卫士的价格区间	您好，本产品的最低保费是40.0元
平安学子卫士的投保价格区间	您好，本产品的最低保费是40.0元
平安学子卫士的收费标准	您好，本产品的最低保费是40.0元
平安学子卫士的保障范围	您好，平安学子卫士的保障责任及保额：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
平安学子卫士的保障内容	您好，平安学子卫士的保障责任及保额：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
平安学子卫士标的的内容	您好，平安学子卫士的保障责任及保额：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
平安学子卫士的责任	您好，平安学子卫士的保障责任及保额：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
平安学子卫士的保额	您好，平安学子卫士的保障责任及保额：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
平安学子卫士	本产品男女皆可投保，属于意外险，投保年龄要求为5-18周岁，最低40.0元即可投保，主要承保责任为：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
介绍一下平安学子卫士	本产品男女皆可投保，属于意外险，投保年龄要求为5-18周岁，最低40.0元即可投保，主要承保责任为：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
说说平安学子卫士	本产品男女皆可投保，属于意外险，投保年龄要求为5-18周岁，最低40.0元即可投保，主要承保责任为：意外伤害身故和残疾（5万元）、意外伤害身故及伤残（5万元）、意外住院和门急诊（8000元）、第三者死亡伤残（1万元）、第三者医疗费用（5000元）、意外和疾病住院（1万元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（5000元）、第三者死亡伤残（8000元）、第三者医疗费用（3000元）、意外和疾病住院（5000元）、意外伤害身故和残疾（4万元）、意外住院和门急诊（2000元）
平安电瓶车意外险(互联网版)属于什么险种	本产品属于财产险
平安电瓶车意外险(互联网版)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安电瓶车意外险(互联网版)有什么亮点吗	家用/快递外卖车可保，撞人/被撞全面保障
平安电瓶车意外险(互联网版)有什么特色吗	家用/快递外卖车可保，撞人/被撞全面保障
平安电瓶车意外险(互联网版)最大的优势	家用/快递外卖车可保，撞人/被撞全面保障
平安电瓶车意外险(互联网版)的最大亮点	家用/快递外卖车可保，撞人/被撞全面保障
平安电瓶车意外险(互联网版)的投保年龄要求	您好，本产品的承保年龄是18-65周岁
平安电瓶车意外险(互联网版)的投保年龄不超过几岁	您好，本产品的承保年龄是18-65周岁
平安电瓶车意外险(互联网版)多大才可以投保	您好，本产品的承保年龄是18-65周岁
平安电瓶车意外险(互联网版)年龄是否有限制	您好，本产品的承保年龄是18-65周岁
平安电瓶车意外险(互联网版)的保障期限是多久	您好，本产品的投保期限为1年
平安电瓶车意外险(互联网版)可以保障多久时间	您好，本产品的投保期限为1年
平安电瓶车意外险(互联网版)的价格区间	您好，本产品的最低保费是19.9元
平安电瓶车意外险(互联网版)的投保价格区间	您好，本产品的最低保费是19.9元
平安电瓶车意外险(互联网版)的收费标准	您好，本产品的最低保费是19.9元
平安电瓶车意外险(互联网版)的保障范围	您好，平安电瓶车意外险(互联网版)的保障责任及保额：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
平安电瓶车意外险(互联网版)的保障内容	您好，平安电瓶车意外险(互联网版)的保障责任及保额：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
平安电瓶车意外险(互联网版)标的的内容	您好，平安电瓶车意外险(互联网版)的保障责任及保额：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
平安电瓶车意外险(互联网版)的责任	您好，平安电瓶车意外险(互联网版)的保障责任及保额：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
平安电瓶车意外险(互联网版)的保额	您好，平安电瓶车意外险(互联网版)的保障责任及保额：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
平安电瓶车意外险(互联网版)	本产品男女皆可投保，属于财产险，投保年龄要求为18-65周岁，最低19.9元即可投保，主要承保责任为：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
介绍一下平安电瓶车意外险(互联网版)	本产品男女皆可投保，属于财产险，投保年龄要求为18-65周岁，最低19.9元即可投保，主要承保责任为：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
说说平安电瓶车意外险(互联网版)	本产品男女皆可投保，属于财产险，投保年龄要求为18-65周岁，最低19.9元即可投保，主要承保责任为：第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（2万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（2万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）、第三者医疗费用（0.2万元）、驾驶人意外身故/伤残（6万元）、驾驶人意外伤害医疗（0.2万元）、第三者身故/伤残（6万元）
平安广西2022学平险(小学初中全区版)属于什么险种	本产品属于意外险
平安广西2022学平险(小学初中全区版)对投保性别有什么要求吗	您好，本产品男女皆可投保
平安广西2022学平险(小学初中全区版)有什么亮点吗	五大责任保障，全面覆盖学生生活、学习场景
平安广西2022学平险(小学初中全区版)有什么特色吗	五大责任保障，全面覆盖学生生活、学习场景
平安广西2022学平险(小学初中全区版)最大的优势	五大责任保障，全面覆盖学生生活、学习场景
平安广西2022学平险(小学初中全区版)的最大亮点	五大责任保障，全面覆盖学生生活、学习场景
平安广西2022学平险(小学初中全区版)的投保年龄要求	您好，本产品的承保年龄是6-17周岁
平安广西2022学平险(小学初中全区版)的投保年龄不超过几岁	您好，本产品的承保年龄是6-17周岁
平安广西2022学平险(小学初中全区版)多大才可以投保	您好，本产品的承保年龄是6-17周岁
