product,answers
平安抗疫保(公益版),"['平安抗疫保(公益版)', '本产品男女皆可投保，属于健康险，投保年龄要求为0-65周岁，主要承保责任为：特定传染病身故保险金（10万元）、特定传染病危重型疾病保险金（5000元）、意外和疾病住院津贴（4500元）', '新型冠状病毒肺炎是否属于特定传染病身故责任保障范围？', '属于', '什么情况属于危重型传染病？', '即满足出现呼吸衰竭且需要机械通气/出现休克/合并其他器官功能衰竭需ICU监护治疗条件之一。', '在哪些医院治疗，可以获得理赔？', '在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受住院，可以享受津贴补偿。']"
平安E生平安·孝心保·医疗款(互联网版),"['平安E生平安·孝心保·医疗款(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为首年60周岁-80周岁，最低1513.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万元）、恶性肿瘤医疗责任（200万元）', '是否保证续保。', '本产品遵循不保证续保条款，保险期间届满，投保人需要重新向保险人申请投保本产品，经保险人同意，交纳保险费，获得新的保险合同。 若发生下列情形之一的，本产品不再接受续保:（一）本产品统一停售； （二）被保险人超过投保人与保险人在保险合同中约定的投保年龄范围； （三）被保险人身故； （四）投保人对于保险人就投保人或者被保险人的有关情况提出的询问未履行如实告知义务，足以影响保险人决定是否同意承保的； （五）被保险人不符合投保条件或存在欺诈情形的。', '升级的一般医疗服务续保时会延续吗？', '延续，每年续保后赠送体检，续年体检结果不影响一般医疗保障。', '一般医疗重疾和恶性肿瘤医疗的0免赔额是否共享？', '恶性肿瘤医疗为0免赔，升级到一般医疗及重疾医疗后，其中的重疾医疗也是0免赔。', '体检结果有问题怎么办？', '体检结果仅会影响是否升级一般医疗保障。如果体检结果有问题，我们无法为客户提供升级保障。但体检结果不会影响恶性肿瘤保障，除非发现客户存在未如实告知的情况。', '如何区分哪些体检指标会影响到客户升级一般医疗责任？', '核保结论不是单纯对一个或几个生化指标进行评价，而是对身体情况进行综合评估得出核保结论，如实进行健康告知，如期进行体检，可以极大避免客户与保险公司的风险（部分老年人血压值放宽至150、95，糖化血红蛋白值放宽至7%）。', '所在城市没有体检机构怎么办？', '承保30天后可电话联系4006-898-761，我公司的供应商将进行个案处理，安排客户至符合标准体检机构进行体检。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安E生平安·孝心保·医疗款(互联网版),"['平安E生平安·孝心保·医疗款(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为首年60周岁-80周岁，最低1513.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万元）、恶性肿瘤医疗责任（200万元）', '是否保证续保。', '本产品遵循不保证续保条款，保险期间届满，投保人需要重新向保险人申请投保本产品，经保险人同意，交纳保险费，获得新的保险合同。 若发生下列情形之一的，本产品不再接受续保:（一）本产品统一停售； （二）被保险人超过投保人与保险人在保险合同中约定的投保年龄范围； （三）被保险人身故； （四）投保人对于保险人就投保人或者被保险人的有关情况提出的询问未履行如实告知义务，足以影响保险人决定是否同意承保的； （五）被保险人不符合投保条件或存在欺诈情形的。', '升级的一般医疗服务续保时会延续吗？', '延续，每年续保后赠送体检，续年体检结果不影响一般医疗保障。', '一般医疗重疾和恶性肿瘤医疗的0免赔额是否共享？', '恶性肿瘤医疗为0免赔，升级到一般医疗及重疾医疗后，其中的重疾医疗也是0免赔。', '体检结果有问题怎么办？', '体检结果仅会影响是否升级一般医疗保障。如果体检结果有问题，我们无法为客户提供升级保障。但体检结果不会影响恶性肿瘤保障，除非发现客户存在未如实告知的情况。', '如何区分哪些体检指标会影响到客户升级一般医疗责任？', '核保结论不是单纯对一个或几个生化指标进行评价，而是对身体情况进行综合评估得出核保结论，如实进行健康告知，如期进行体检，可以极大避免客户与保险公司的风险（部分老年人血压值放宽至150、95，糖化血红蛋白值放宽至7%）。', '所在城市没有体检机构怎么办？', '承保30天后可电话联系4006-898-761，我公司的供应商将进行个案处理，安排客户至符合标准体检机构进行体检。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安乐活·女性夜间出行保障（互联网版）,"['平安乐活·女性夜间出行保障（互联网版）', '本产品只允许女性投保，属于意外险，投保年龄要求为16-65周岁，主要承保责任为：特定期间意外伤害医疗（1000元）、特定期间意外身故和伤残（50000元）', '如果出行时间在20点前，但意外发生时间在20点后是否赔付？', '可以赔付。', '如果被坏人侵犯是否可以理赔？', '可以赔付。']"
平安非机动车保险(宣城),"['平安非机动车保险(宣城)', '本产品男女皆可投保，属于财产险，投保年龄要求为18-65周岁，主要承保责任为：非机动车第三者责任（1000元）、意外伤害身故和残疾（1000元）、意外伤害医疗（500元）']"
平安交通意外险赠险(互联网版),"['平安交通意外险赠险(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为18-65周岁，主要承保责任为：飞机意外伤害身故残疾（100万元）、火车意外伤害身故残疾（50万元）、轮船意外伤害身故残疾（50万元）、汽车意外伤害身故残疾（5万元）', '1.问：这款产品的生效时间是什么？', '答：这款产品生效日期是T➕1，即缴费后的第二天。', '2.问：这款产品的保险责任是什么？', '答：这款产品保障在保险期限内以乘客身份乘坐营运公共汽车和地铁（轻轨）期间（包含地铁轻轨闸机内区域内）发生的意外身故和残疾责任。', '3.问：这款产品什么年龄可以承保？', '答：本产品承保年龄为18到65岁（均含）。', '4.问：此产品可以投保几份？', '答：本产品限投一份，多投无效，且投被保人须为同一人。', '5.问：此产品保障期限是多久？', '答：本产品保障期限为3个月。']"
平安臻爱保(互联网版),"['平安臻爱保(互联网版)', '本产品男女皆可投保，属于小微，投保年龄要求为16-49周岁，最低58.0元即可投保，主要承保责任为：乳腺癌保险金（2万元）、子宫颈癌保险金（2万元）、子宫内膜癌保险金（2万元）、卵巢癌保险金（2万元）、输卵管癌保险金（2万元）、阴道癌保险金（2万元）、乳腺癌保险金（5万元）、子宫颈癌保险金（5万元）、子宫内膜癌保险金（5万元）、卵巢癌保险金（5万元）、输卵管癌保险金（5万元）、阴道癌保险金（5万元）、特定传染病身故保险金（5万元）、特定传染病危重型疾病保险金（1万元）、飞机意外伤害身故残疾（20万元）、火车意外伤害身故残疾（10万元）、轮船意外伤害身故残疾（10万元）、乳腺癌保险金（10万元）、子宫颈癌保险金（10万元）、子宫内膜癌保险金（10万元）、卵巢癌保险金（10万元）、输卵管癌保险金（10万元）、阴道癌保险金（10万元）、特定传染病身故保险金（10万元）、特定传染病危重型疾病保险金（2万元）、飞机意外伤害身故残疾（50万元）、火车意外伤害身故残疾（20万元）、轮船意外伤害身故残疾（20万元）']"
平安臻爱保(互联网版),"['平安臻爱保(互联网版)', '本产品男女皆可投保，属于小微，投保年龄要求为16-49周岁，最低58.0元即可投保，主要承保责任为：乳腺癌保险金（2万元）、子宫颈癌保险金（2万元）、子宫内膜癌保险金（2万元）、卵巢癌保险金（2万元）、输卵管癌保险金（2万元）、阴道癌保险金（2万元）、乳腺癌保险金（5万元）、子宫颈癌保险金（5万元）、子宫内膜癌保险金（5万元）、卵巢癌保险金（5万元）、输卵管癌保险金（5万元）、阴道癌保险金（5万元）、特定传染病身故保险金（5万元）、特定传染病危重型疾病保险金（1万元）、飞机意外伤害身故残疾（20万元）、火车意外伤害身故残疾（10万元）、轮船意外伤害身故残疾（10万元）、乳腺癌保险金（10万元）、子宫颈癌保险金（10万元）、子宫内膜癌保险金（10万元）、卵巢癌保险金（10万元）、输卵管癌保险金（10万元）、阴道癌保险金（10万元）、特定传染病身故保险金（10万元）、特定传染病危重型疾病保险金（2万元）、飞机意外伤害身故残疾（50万元）、火车意外伤害身故残疾（20万元）、轮船意外伤害身故残疾（20万元）']"
平安·E生平安·百万医·奋斗无忧(互联网版),"['平安·E生平安·百万医·奋斗无忧(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为0-60周岁，最低23.5元即可投保，主要承保责任为：质子重离子医疗保险责任（100万元）、一般医疗费用保险责任（300万元）、重大疾病医疗费用保险责任（300万元）、重大疾病保险金（1万元）、癌症住院医疗津贴（3.6万元）', '此款产品等待期是多久？', '本保险首次投保一般医疗费用保险责任、重大疾病医疗费用保险责任和质子重离子医疗费用保险责任等待期为30日；因意外伤害发生保险责任的，无等待期；首次投保重大疾病保险责任等待期为90日。', '投保前已经发生的疾病住院， 或即将有住院意向是否可以理赔？', '投保前已出现健康告知中列明的情况，必须全部如实告知，若未如实告知，将无法获得赔付。', '投保人、被保人关系？', '目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。']"
平安·E生平安·疾病守护金,"['平安·E生平安·疾病守护金', '本产品男女皆可投保，属于健康险，投保年龄要求为0-65周岁，主要承保责任为：甲乙丙类传染病身故(等待期10天)（10万）', '产品有保障新型冠状病毒肺炎吗？', '新型冠状病毒国家认定为乙类传染病，属于保障范围。', '产品等待期多久？', '等待期10天。', '保障的疾病类型有哪些？', '保障范围为《中华人民共和国传染病防治法》中规定的甲类、乙类及丙类传染病。']"
平安臻爱保(互联网),"['平安臻爱保(互联网)', '本产品男女皆可投保，属于小微，投保年龄要求为16-49周岁，最低58.0元即可投保，主要承保责任为：乳腺癌保险金（2万元）、子宫颈癌保险金（2万元）、子宫内膜癌保险金（2万元）、卵巢癌保险金（2万元）、输卵管癌保险金（2万元）、阴道癌保险金（2万元）、乳腺癌保险金（5万元）、子宫颈癌保险金（5万元）、子宫内膜癌保险金（5万元）、卵巢癌保险金（5万元）、输卵管癌保险金（5万元）、阴道癌保险金（5万元）、特定传染病身故保险金（5万元）、特定传染病危重型疾病保险金（1万元）、飞机意外伤害身故残疾（20万元）、火车意外伤害身故残疾（10万元）、轮船意外伤害身故残疾（10万元）、乳腺癌保险金（10万元）、子宫颈癌保险金（10万元）、子宫内膜癌保险金（10万元）、卵巢癌保险金（10万元）、输卵管癌保险金（10万元）、阴道癌保险金（10万元）、特定传染病身故保险金（10万元）、特定传染病危重型疾病保险金（2万元）、飞机意外伤害身故残疾（50万元）、火车意外伤害身故残疾（20万元）、轮船意外伤害身故残疾（20万元）']"
平安臻爱保(互联网),"['平安臻爱保(互联网)', '本产品男女皆可投保，属于小微，投保年龄要求为16-49周岁，最低58.0元即可投保，主要承保责任为：乳腺癌保险金（2万元）、子宫颈癌保险金（2万元）、子宫内膜癌保险金（2万元）、卵巢癌保险金（2万元）、输卵管癌保险金（2万元）、阴道癌保险金（2万元）、乳腺癌保险金（5万元）、子宫颈癌保险金（5万元）、子宫内膜癌保险金（5万元）、卵巢癌保险金（5万元）、输卵管癌保险金（5万元）、阴道癌保险金（5万元）、特定传染病身故保险金（5万元）、特定传染病危重型疾病保险金（1万元）、飞机意外伤害身故残疾（20万元）、火车意外伤害身故残疾（10万元）、轮船意外伤害身故残疾（10万元）、乳腺癌保险金（10万元）、子宫颈癌保险金（10万元）、子宫内膜癌保险金（10万元）、卵巢癌保险金（10万元）、输卵管癌保险金（10万元）、阴道癌保险金（10万元）、特定传染病身故保险金（10万元）、特定传染病危重型疾病保险金（2万元）、飞机意外伤害身故残疾（50万元）、火车意外伤害身故残疾（20万元）、轮船意外伤害身故残疾（20万元）']"
平安家政无忧保(互联网版),"['平安家政无忧保(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为18周岁-65周岁，最低58.0元即可投保，主要承保责任为：家政人员意外身故和残疾（5万）、家政人员意外医疗（1万）、家政人员意外身故和残疾（20万）、家政人员意外医疗（2万）、家政人员意外身故和残疾（50万）、家政人员意外医疗（3万）', '这个产品可以保障谁？', '本产品适合雇主为家政服务雇员投保，即您可为您家保姆阿姨等人进行投保，可保障家政服务雇员的人身意外风险。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安家政无忧保(互联网版),"['平安家政无忧保(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为18周岁-65周岁，最低58.0元即可投保，主要承保责任为：家政人员意外身故和残疾（5万）、家政人员意外医疗（1万）、家政人员意外身故和残疾（20万）、家政人员意外医疗（2万）、家政人员意外身故和残疾（50万）、家政人员意外医疗（3万）', '这个产品可以保障谁？', '本产品适合雇主为家政服务雇员投保，即您可为您家保姆阿姨等人进行投保，可保障家政服务雇员的人身意外风险。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安非机动车保险(宣城),"['平安非机动车保险(宣城)', '本产品男女皆可投保，属于财产险，投保年龄要求为18-65周岁，主要承保责任为：非机动车第三者责任（1000元）、意外伤害身故和残疾（1000元）、意外伤害医疗（500元）']"
平安女性安康特定疾病保险(互联网),"['平安女性安康特定疾病保险(互联网)', '本产品男女皆可投保，属于健康险，投保年龄要求为16-49周岁，最低12.0元即可投保，主要承保责任为：乳腺癌保险金（2万元）、乳腺癌保险金（1万元）', '保险的犹豫期有多久', '30天', '此份保险保所有的癌症吗', '不是，仅承保乳腺癌']"
平安女性安康特定疾病保险(互联网),"['平安女性安康特定疾病保险(互联网)', '本产品男女皆可投保，属于健康险，投保年龄要求为16-49周岁，最低12.0元即可投保，主要承保责任为：乳腺癌保险金（2万元）、乳腺癌保险金（1万元）', '保险的犹豫期有多久', '30天', '此份保险保所有的癌症吗', '不是，仅承保乳腺癌']"
平安家宅平安保险(ZSH),"['平安家宅平安保险(ZSH)', '本产品男女皆可投保，属于财产险，投保年龄要求为16-65周岁，最低4.0元即可投保，主要承保责任为：房屋主体损失保障（8万元）、房屋装修损失保障（5000元）']"
平安电动车保险-冀行无忧(互联网版),"['平安电动车保险-冀行无忧(互联网版)', '本产品男女皆可投保，属于财产险，投保年龄要求为16-70周岁，最低50.0元即可投保，主要承保责任为：第三者死亡伤残（8万元）、第三者医疗费用（3000元）、第三者财产损失（500元）、意外伤害身故和残疾（2万元）、意外伤害医疗（1500元）、意外伤害身故和残疾（2万元）、意外伤害医疗（1500元）、第三者死亡伤残（8万元）、第三者医疗费用（3000元）、第三者财产损失（500元）、意外伤害身故和残疾（2万元）、意外伤害医疗（1500元）、意外伤害身故和残疾（2万元）、意外伤害医疗（1500元）、第三者死亡伤残（10万元）、第三者医疗费用（6000元）、第三者财产损失（1000元）、意外伤害身故和残疾（3万元）、意外伤害医疗（2000元）、意外伤害身故和残疾（3万元）、意外伤害医疗（2000元）、第三者死亡伤残（10万元）、第三者医疗费用（6000元）、第三者财产损失（1000元）、意外伤害身故和残疾（3万元）、意外伤害医疗（2000元）、意外伤害身故和残疾（3万元）、意外伤害医疗（2000元）、第三者死亡伤残（20万元）、第三者医疗费用（1万元）、第三者财产损失（2000元）、意外伤害身故和残疾（5万元）、意外伤害医疗（2500元）、意外伤害身故和残疾（5万元）、意外伤害医疗（2500元）、第三者死亡伤残（20万元）、第三者医疗费用（1万元）、第三者财产损失（2000元）、意外伤害身故和残疾（5万元）、意外伤害医疗（2500元）、意外伤害身故和残疾（5万元）、意外伤害医疗（2500元）', '可以购买多份么？', '本产品限购一份，多购无效。']"
平安境外旅游险(全球)(互联网版),"['平安境外旅游险(全球)(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为0-85周岁，最低25.0元即可投保，主要承保责任为：意外伤害身故和残疾（20万元）、意外和疾病住院和门急诊（含新冠肺炎医疗）（5万元）、行李物品与旅行票证损失（3000元）、银行卡资金损失（5000元）、第三者责任（5万元）、医疗运送和送返（400万元）、亲属前往处理后事保险金（6500元）、亲属慰问探访（1.3万元）、休养期的饭店住宿（6500元）、紧急返回居住地国家（8000元）、安排并支付未成年子女回国（8000元）、遗体/骨灰送返（250万元）', '保险起期能选当日吗？', '不能，最早只能是次日凌晨。请您在确认行程后尽早投保，以免耽误您的出行。', '境外医疗保障范围是怎么样的？', '1、被保险人在境外旅行期间遭受主保险合同约定的意外伤害事故或罹患疾病，且必须在境外医疗机构进行必要治疗的，对于其实际支出的、必要且合理的医疗费用。2、返回境内后因该意外事故或疾病仍需在境内医疗机构继续接受治疗的，对于其实际支出的、按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用。', '治疗时间有限制吗？', '最长承担事故发生后90天内的境外治疗费用，及回国后30天内的后续医疗费用。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安守护·成人意外险（互联网版）,"['平安守护·成人意外险（互联网版）', '本产品男女皆可投保，属于意外险，投保年龄要求为18-65周岁，最低98.0元即可投保，主要承保责任为：免赔额（100）、身故伤残保险责任（10万元）、意外伤害医疗保险责任（1万元）、猝死（10万元）、飞机意外伤害身故残疾（10万元）、火车意外伤害身故残疾（10万元）、轮船意外伤害身故残疾（10万元）、汽车意外伤害身故残疾（10万元）、意外伤害住院津贴责任（三天免赔）（4500元）、身故伤残保险责任（30万元）、意外伤害医疗保险责任（3万元）、猝死（30万元）、甲乙类传染病身故（10万元）、飞机意外伤害身故残疾（30万元）、火车意外伤害身故残疾（30万元）、轮船意外伤害身故残疾（30万元）、汽车意外伤害身故残疾（30万元）、意外伤害住院津贴责任（三天免赔）（9000元）、身故伤残保险责任（50万元）、意外伤害医疗保险责任（5万元）、猝死（50万元）、甲乙类传染病身故（10万元）、飞机意外伤害身故残疾（50万元）、火车意外伤害身故残疾（50万元）、轮船意外伤害身故残疾（50万元）、汽车意外伤害身故残疾（50万元）、意外伤害住院津贴责任（三天免赔）（13500元）', '什么是意外事故？', '意外事故是指外来的、突发的、非本意的、非疾病的使身体受到伤害的客观事件，比如交通事故、跌倒摔伤、动物咬伤等。', '1-3类职业，是指那些？', '如白领、内勤管理、销售人员、学生、家庭主妇、零售商（不负责安装）等，具体可在投保须知中参照《职业分类表》或点击右上角在线客服咨询。', '甲乙类传染病身故责任保障的疾病在哪里可以看到具体种类？', '您可在成人意外险产品介绍页面-保障计划-查看责任详情-甲乙类传染病身故责任描述中查看具体可以承保的29种疾病类型。', '新型冠状病毒肺炎是否属于甲乙类传染病身故责任保障范围？', '根据《中华人民共和国国家卫生健康委员会公告》（2020年第1号）的规定，新型冠状病毒感染的肺炎纳入《中华人民共和国传染病防治法》规定的乙类传染病，并采取甲类传染病的预防、控制措施，因此该疾病属于甲乙类传染病身故责任的保障范围。', '意外身故最高可以赔到100万吗？', '可以。飞机、火车、轮船、汽车的意外伤害身故残疾责任，在保险责任范围内可以跟“身故伤残保险责任”叠加。例如某女士因飞机意外而身故，该女士在事故前已购买平安守护·成人意外险的套餐3，经核实属于“飞机意外伤害身故残疾”和“身故伤残保险责任”的保障范围内，因此“飞机意外伤害身故残疾”可赔偿50万，“身故伤残保险责任”可赔偿50万，总计赔偿100万元。', '这款产品可以为家人购买吗？', '本产品针对18-65周岁且职业类别属于《职业分类表》中的1-3类职业人员，可以为符合年龄、职业要求的配偶、父母和子女购买。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票']"
平安E生平安·医疗险(互联网版),"['平安E生平安·医疗险(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为28天-60周岁，最低134.0元即可投保，主要承保责任为：质子重离子医疗保险责任（100万元）、一般医疗费用保险责任（1万免赔额）（300万元）、特定疾病医疗费用保险责任（0免赔额）（300万元）、重大疾病保险金（1万元）', '在哪些医院治疗，可以获得理赔？', '在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受住院、住院前7天后30天门急诊、特殊门诊、门诊手术治疗的，可以报销个人支付的、必要且合理的医疗费用。', '等待期是多久？', 'E生平安·医疗险的一般医疗费用保险责任、重大疾病医疗费用保险责任、特殊门诊诊疗费用及门诊手术医疗费用保险责任和质子重离子医疗费用保险责任等待期30天，意外伤害及续保无等待期，重大疾病保险责任等待期为90天。', '投保前已经发生的疾病住院，或即将有住院意向是否可以理赔？', '投保前已出现健康告知中列明的情况，必须全部如实告知，若未如实告知，将无法获得赔付。', '什么是犹豫期？', '保单承保次日起，有10日的犹豫期。在此期间，若提出解除本主险合同，我们将无息退还您所支付的全部保险费。', '保单生效日？', '投保成功后，次日零时。', '投、被保人关系？', '目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。', '是否可以多次购买？', '否，同一被保险人在一个保单年度，只能购买一次。', '投保前已经发生的疾病是否可以理赔？', '本产品不承担投保前疾病。', '质子重离子赔哪些责任？', '质子重离子放射治疗而发生的相关费用，包括膳食费、护理费、医生费、检查检验费、治疗费、药品费100%赔付；但本项责任下不包括化学疗法、放射疗法、肿瘤免疫疗法、肿瘤内分泌疗法和肿瘤靶向疗法所产生的医疗费用。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票']"
平安·E生平安·健康守护金,"['平安·E生平安·健康守护金', '本产品男女皆可投保，属于健康险，投保年龄要求为0(28天)-65周岁，主要承保责任为：甲乙类传染病身故（10万元）', '产品有保障新型冠状病毒肺炎吗？', '新型冠状病毒国家认定为乙类传染病，属于保障范围。', '产品等待期多久？', '等待期10天。', '保障的疾病类型有哪些？', '保障范围为《中华人民共和国传染病防治法》中规定的甲类、乙类及丙类传染病。']"
平安家庭周末亲子游(互联网版),"['平安家庭周末亲子游(互联网版)', '本产品男女皆可投保，属于意外险，投保年龄要求为0至65周岁，最低8.0元即可投保，主要承保责任为：意外伤害身故和残疾（20万元）、意外伤害医疗（1万元）、未成年人第三者死亡伤残（5万元）、未成年人第三者医疗费用（5000元）、未成年人第三者财产损失（1000元）、找寻费用（1000元）、境内紧急救援服务（10万元）、意外伤害身故和残疾（30万元）、意外伤害医疗（1.5万元）、未成年人第三者死亡伤残（5万元）、未成年人第三者医疗费用（5000元）、未成年人第三者财产损失（1000元）、找寻费用（1000元）、境内紧急救援服务（10万元）、意外伤害身故和残疾（40万元）、意外伤害医疗（2万元）、未成年人第三者死亡伤残（5万元）、未成年人第三者医疗费用（5000元）、未成年人第三者财产损失（1000元）、找寻费用（1000元）、境内紧急救援服务（10万元）', '本保险的保障对象包含哪些？', '本产品被保险人为18-65周岁的成人及其0-17周岁子女，被保险人间关系为父母和子女。', '本保险的保额如何分配？', '本保险意外身故和残疾责任保额为每人10万元，医疗责任保额为每人5000元，每次事故免赔100元。', '意外伤害包含哪些？传染病身故属于意外伤害吗？', '意外伤害指以外来的、突发的、非本意的和非疾病的客观事件为直接且单独的原因致使身体受到的伤害。自然死亡、疾病死亡、猝死、自杀及自伤均不属于意外伤害。', '因意外伤害就医，理赔时对医院有什么限制吗？', '本保险承保子女对第三者造成的人伤伤害责任，第三者就诊医院需为经中华人民共和国卫生部门评审确定的二级或二级以上的公立医院，但不包括主要作为诊所、康复、护理、休养、静养、戒酒、戒毒等或类似的医疗机构。该医院必须具有符合国家有关医院管理规则设置标准的医疗设备，且全天二十四小时有合格医师及护士驻院提供医疗及护理服务。扣除每次事故免赔额200元。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安E生平安·孝心保·服务款(互联网版),"['平安E生平安·孝心保·服务款(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为50-80周岁，最低399.0元即可投保，主要承保责任为：健康管理服务1：体检服务（1次）、健康管理服务2：在线问诊（视频医生）（不限次）、健康管理服务3：药品折扣服务（不限次）、健康管理服务4：就医陪同（1次）、意外及甲乙类传染病医疗费用（1万元）', '该保障提供哪些保障和服务？', '孝心保的保障内容包括意外和甲乙类传染病医疗，服务包括：1次老年人专属体检、全年慢病购药优惠（药费自付）、10次视频专家问诊、就医陪诊服务。', '意外医疗和甲乙类传染病医疗赔偿哪些费用？', '在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受治疗，可以报销个人支付的、必要且合理的社保目录内的医疗费用。', '什么是甲乙类传染病？', '传染病保险的保障范围为《中华人民共和国传染病防治法》中规定的甲类及乙类传染病。', '保新冠肺炎吗？', '新冠肺炎在孝心保的保障范围内，除免责条款约定情况外，被保人因治疗甲乙类传染病（包含新冠肺炎）产生的医疗费用医保报销后可全额申报，与意外医疗保障共用1万元保额。', '父母不小心摔伤导致骨折，是否可保？', '可以，骨折在孝心保的保障范围内，除免责条款约定情况外，因为意外导致的疾病产生的医疗费用医保报销后扣除500元免赔额后，可全额申报。', '等待期是多久？', '传染病医疗有10天等待期，意外医疗无等待期。', '有犹豫期么？', '自保单承保次日起，有10日的犹豫期，在此期间您若提出解除本保险合同，我们将退还您所支付的全部保费。犹豫期后，若您申请解除合同会遭受一定损失，我们将按条款退还您保险合同的最低现金价值。', '有免赔额么？', '每次事故绝对免赔500元。', '如何申请理赔？理赔进度如何查询？', '可以在平安好车主首页点击“办理陪”-“我要报案”，进入理赔界面上传所需的理赔材料进行快速理赔；也可以拔打95511进行理赔申请。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
平安E生平安·孝心保·服务款(互联网版),"['平安E生平安·孝心保·服务款(互联网版)', '本产品男女皆可投保，属于健康险，投保年龄要求为50-80周岁，最低399.0元即可投保，主要承保责任为：健康管理服务1：体检服务（1次）、健康管理服务2：在线问诊（视频医生）（不限次）、健康管理服务3：药品折扣服务（不限次）、健康管理服务4：就医陪同（1次）、意外及甲乙类传染病医疗费用（1万元）', '该保障提供哪些保障和服务？', '孝心保的保障内容包括意外和甲乙类传染病医疗，服务包括：1次老年人专属体检、全年慢病购药优惠（药费自付）、10次视频专家问诊、就医陪诊服务。', '意外医疗和甲乙类传染病医疗赔偿哪些费用？', '在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受治疗，可以报销个人支付的、必要且合理的社保目录内的医疗费用。', '什么是甲乙类传染病？', '传染病保险的保障范围为《中华人民共和国传染病防治法》中规定的甲类及乙类传染病。', '保新冠肺炎吗？', '新冠肺炎在孝心保的保障范围内，除免责条款约定情况外，被保人因治疗甲乙类传染病（包含新冠肺炎）产生的医疗费用医保报销后可全额申报，与意外医疗保障共用1万元保额。', '父母不小心摔伤导致骨折，是否可保？', '可以，骨折在孝心保的保障范围内，除免责条款约定情况外，因为意外导致的疾病产生的医疗费用医保报销后扣除500元免赔额后，可全额申报。', '该保障等待期是多久？', '传染病医疗有10天等待期，意外医疗无等待期。', '有犹豫期么？', '自保单承保次日起，有10日的犹豫期，在此期间您若提出解除本保险合同，我们将退还您所支付的全部保费。犹豫期后，若您申请解除合同会遭受一定损失，我们将按条款退还您保险合同的最低现金价值。', '有免赔额么？', '每次事故绝对免赔500元。', '健康服务如何使用？', '“体检”、“视频专家问诊”、“慢病购药优惠”、“就医陪诊”四项服务请在购买保单后，下载平安好生活，点击“我的-我的卡券”使用；“就医陪诊”服务也可拨打95511-#-9。', '保费的支付方式，以及保险单证、保费发票等凭证的送达方式是怎样的？', '保费支付方式支持微信、支付宝、银行卡等支付方式。投保成功后，在首页-查保单入口，可下载保险单证及申请开具电子发票。']"
