question,answer
平安电瓶车意外险（互联网版）犹豫期是多少天,您好，平安电瓶车意外险(互联网版)有0天的犹豫期。
平安守护·成人意外险(互联网版)犹豫期说明,您好，平安守护·成人意外险(互联网版)有0天的犹豫期。
平安守护·成人意外险(互联网版)有无犹豫期,您好，平安守护·成人意外险(互联网版)有0天的犹豫期。
平安守护·成人意外险(互联网版)有没有犹豫期,您好，平安守护·成人意外险(互联网版)有0天的犹豫期。
平安守护·成人意外险(互联网版)这款产品有犹豫期吗?,您好，平安守护·成人意外险(互联网版)有0天的犹豫期。
平安电瓶车意外险（互联网版）保障范围是什么,您好，平安电瓶车意外险(互联网版)的保障责任：第三者医疗费用、意外伤害医疗、第三者死亡伤残、意外伤害身故和残疾。
平安电瓶车意外险（互联网版）保障责任,您好，平安电瓶车意外险(互联网版)的保障责任：第三者医疗费用、意外伤害医疗、第三者死亡伤残、意外伤害身故和残疾。
平安电瓶车意外险（互联网版）主要保障哪些,您好，平安电瓶车意外险(互联网版)的保障责任：第三者医疗费用、意外伤害医疗、第三者死亡伤残、意外伤害身故和残疾。
平安电瓶车意外险（互联网版）能保障什么,您好，平安电瓶车意外险(互联网版)的保障责任：第三者医疗费用、意外伤害医疗、第三者死亡伤残、意外伤害身故和残疾。
平安守护·成人意外险(互联网版)是否保障高空作业,您好，平安守护·成人意外险(互联网版)的标的是自然人（职业类型非必填）。
平安守护·成人意外险(互联网版)保障期限是多久,您好，平安守护·成人意外险(互联网版)的保险期限是1年。
平安守护·成人意外险(互联网版)可以保障多久时间,您好，平安守护·成人意外险(互联网版)的保险期限是1年。
平安守护·成人意外险(互联网版)保额是多少,您好，平安守护·成人意外险(互联网版)的最高保额为：100万元。其中，猝死300000元、飞机意外伤害身故残疾300000元、火车意外伤害身故残疾300000元、甲乙类传染病身故100000元、意外伤害住院津贴责任9000元、轮船意外伤害身故残疾300000元、身故伤残保险责任300000元、汽车意外伤害身故残疾300000元、甲乙类传染病身故100000元、轮船意外伤害身故残疾500000元、汽车意外伤害身故残疾500000元、身故伤残保险责任500000元、火车意外伤害身故残疾500000元、猝死500000元、飞机意外伤害身故残疾500000元、意外伤害住院津贴责任13500元、汽车意外伤害身故残疾100000元、火车意外伤害身故残疾100000元、飞机意外伤害身故残疾100000元、身故伤残保险责任100000元、猝死100000元、意外伤害住院津贴责任4500元、轮船意外伤害身故残疾100000元
平安守护·成人意外险(互联网版)保险保额,您好，平安守护·成人意外险(互联网版)的最高保额为：100万元。其中，猝死300000元、飞机意外伤害身故残疾300000元、火车意外伤害身故残疾300000元、甲乙类传染病身故100000元、意外伤害住院津贴责任9000元、轮船意外伤害身故残疾300000元、身故伤残保险责任300000元、汽车意外伤害身故残疾300000元、甲乙类传染病身故100000元、轮船意外伤害身故残疾500000元、汽车意外伤害身故残疾500000元、身故伤残保险责任500000元、火车意外伤害身故残疾500000元、猝死500000元、飞机意外伤害身故残疾500000元、意外伤害住院津贴责任13500元、汽车意外伤害身故残疾100000元、火车意外伤害身故残疾100000元、飞机意外伤害身故残疾100000元、身故伤残保险责任100000元、猝死100000元、意外伤害住院津贴责任4500元、轮船意外伤害身故残疾100000元
我想了解不属于平安守护·成人意外险(互联网版)标的的内容有哪些,您好，平安守护·成人意外险(互联网版)的标的是自然人（职业类型非必填）。
我想知道不属于平安守护·成人意外险(互联网版)标的的内容,您好，平安守护·成人意外险(互联网版)的标的是自然人（职业类型非必填）。
平安守护·成人意外险(互联网版)的价格区间,您好，平安守护·成人意外险(互联网版)的最低保费是98.0元。
平安守护·成人意外险(互联网版)的收费标准,您好，平安守护·成人意外险(互联网版)的最低保费是98.0元。
平安守护·成人意外险(互联网版)产品特色是什么,您好，平安守护·成人意外险(互联网版)的产品特色是：高端保障百万身价，工作/日常意外全覆盖。
平安守护·成人意外险互联网版有哪些特色,您好，平安守护·成人意外险(互联网版)的产品特色是：高端保障百万身价，工作/日常意外全覆盖。
你们的平安守护·成人意外险互联网产品说一下什么特点,您好，平安守护·成人意外险(互联网版)的产品特色是：高端保障百万身价，工作/日常意外全覆盖。
购买平安守护·成人意外险(互联网版)有没有年龄限制,您好，平安守护·成人意外险(互联网版)的承保年龄是18-65岁。
想知道平安守护·成人意外险(互联网版)的承保年龄要多大,您好，平安守护·成人意外险(互联网版)的承保年龄是18-65岁。
平安守护·成人意外险(互联网版)怎么购买,您好，您可点此进入平安守护·成人意外险(互联网版)详情页面进行购买。
平安守护·成人意外险(互联网版)投保流程,您好，您可点此进入平安守护·成人意外险(互联网版)详情页面进行购买。
平安守护·成人意外险(互联网版)被保险人的年龄是否有要求,您好，平安守护·成人意外险(互联网版)的承保年龄是18-65岁。
平安守护·成人意外险(互联网版投保年龄是否有限制,您好，平安守护·成人意外险(互联网版)的承保年龄是18-65岁。
平安守护·成人意外险(互联网版)能否重复投保,您好，平安守护·成人意外险(互联网版)的保险期限是1年。
平安守护·成人意外险(互联网版)可以重复投保吗,您好，平安守护·成人意外险(互联网版)的保险期限是1年。
平安守护·成人意外险(互联网版)有购买次数要求么,您好，平安守护·成人意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·成人意外险(互联网版)可不可以重复投保,您好，平安守护·成人意外险(互联网版)的保险期限是1年。
平安守护·成人意外险(互联网版)生效时间是什么时候,您好，平安守护·成人意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·成人意外险(互联网版)起保时间,您好，平安守护·成人意外险(互联网版)的保险期限是1年。
平安守护·成人意外险(互联网版)适合哪些人投保,您好，平安守护·成人意外险(互联网版)的适用人群为：全部|白领|女士|男士。
平安守护·成人意外险(互联网版)投保的人群是哪些,您好，平安守护·成人意外险(互联网版)的承保年龄是18-65岁。
平安守护·成人意外险(互联网版)需要健康告知吗,您好，投保平安守护·成人意外险(互联网版)时不需要进行健康告知。
平安守护·成人意外险(互联网版)投保前是否要健康告知,您好，投保平安守护·成人意外险(互联网版)时不需要进行健康告知。
平安守护·成人意外险(互联网版有没有犹豫期,您好，平安守护·成人意外险(互联网版)有0天的犹豫期。
平安守护·成人意外险(互联网版)犹豫期是多少天,您好，平安守护·成人意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险犹豫期的规则,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险犹豫期的标准是怎么样的,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险犹豫期规定,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险犹豫期照什么标准,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险保障范围是什么,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险保障责任,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险主要保障哪些,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险能保障什么,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险适用哪些职业,您好，平安守护·全家共享意外险(互联网版)的适用人群为：白领|老人|少儿|家庭|女士|男士。
平安守护·全家共享意外险保障期限是多久,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险可以保障多久时间,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险保额是多少,您好，平安守护·全家共享意外险(互联网版)的最高保额为：100万。其中，身故伤残保险责任1000000元、甲乙类传染病身故200000元、意外伤害住院护理津贴13500元、身故伤残保险责任200000元、意外伤害住院护理津贴4500元
平安守护·全家共享意外险保险保额,您好，平安守护·全家共享意外险(互联网版)的最高保额为：100万。其中，身故伤残保险责任1000000元、甲乙类传染病身故200000元、意外伤害住院护理津贴13500元、身故伤残保险责任200000元、意外伤害住院护理津贴4500元
不属于平安守护·全家共享意外险的标的内容有哪些,您好，平安守护·全家共享意外险(互联网版)的标的是自然人（职业类型非必填）。
我想知道不属于平安守护·全家共享意外险标的的内容有哪些,您好，平安守护·全家共享意外险(互联网版)的标的是自然人（职业类型非必填）。
平安守护·全家共享意外险的价格区间,您好，平安守护·全家共享意外险(互联网版)的最低保费是168.0元。
平安守护·全家共享意外险收费标准,您好，平安守护·全家共享意外险(互联网版)的最低保费是168.0元。
平安守护·全家共享意外险这个产品有哪些主要特点,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险的产品特色,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险有什么亮点,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险有什么好处,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险续保年龄要求,您好，平安守护·全家共享意外险(互联网版)的投保年龄是16-65周岁。
平安守护·全家共享意外险)续保年龄上限,您好，您可点此进入平安守护·全家共享意外险(互联网版)详情页面进行购买。
平安守护·全家共享意外险续保年龄不超过几岁,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险续保年龄限制,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险怎么购买,您好，您可点此进入平安守护·全家共享意外险(互联网版)详情页面进行购买。
平安守护·全家共享意外险投保流程,您好，您可点此进入平安守护·全家共享意外险(互联网版)详情页面进行购买。
平安守护·全家共享意外险被保险人的年龄是否有要求,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险投保年龄是否有限制,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
同一被保险人，能否重复购买平安守护·全家共享意外险,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险可以投保多少份,您好，平安守护·全家共享意外险(互联网版)的累计购买最大份数是1份。
平安守护·全家共享意外险投保份数是否有限制,您好，平安守护·全家共享意外险(互联网版)的累计购买最大份数是1份。
平安守护·全家共享意外险生效时间是什么时候,您好，平安守护·全家共享意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·全家共享意外险起保时间,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险适合哪些人投保,您好，平安守护·全家共享意外险(互联网版)的适用人群为：白领|老人|少儿|家庭|女士|男士。
平安守护·全家共享意外险投保的人群是哪些,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险需要健康告知吗,您好，投保平安守护·全家共享意外险(互联网版)时不需要进行健康告知。
平安守护·全家共享意外险投保前是否要健康告知,您好，投保平安守护·全家共享意外险(互联网版)时不需要进行健康告知。
平安守护·全家共享意外险有没有犹豫期,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险犹豫期是多少天,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险(互联网版)有没有犹豫期,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险(互联网版)这款产品有犹豫期吗?,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险(互联网版)是否有犹豫期,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
了解下平安守护·全家共享意外险(互联网版)犹豫期的具体说明,您好，平安守护·全家共享意外险(互联网版)有0天的犹豫期。
平安守护·全家共享意外险(互联网版)的保障责任是什么,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险(互联网版)主要保障什么呢,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险(互联网版)的保障范围是什么,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险(互联网版)保障内容,您好，平安守护·全家共享意外险(互联网版)的保障责任：意外伤害住院护理津贴、意外伤害身故和残疾、身故伤残保险责任、住院护理津贴、意外伤害医疗、甲乙类传染病身故。
平安守护·全家共享意外险(互联网版)最久能投多少时间,您好，平安守护·全家共享意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·全家共享意外险(互联网版)最多一次保多久,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险(互联网版)保额是多少,您好，平安守护·全家共享意外险(互联网版)的最高保额为：100万。其中，身故伤残保险责任1000000元、甲乙类传染病身故200000元、意外伤害住院护理津贴13500元、身故伤残保险责任200000元、意外伤害住院护理津贴4500元
平安守护·全家共享意外险(互联网版)保险保额,您好，平安守护·全家共享意外险(互联网版)的最高保额为：100万。其中，身故伤残保险责任1000000元、甲乙类传染病身故200000元、意外伤害住院护理津贴13500元、身故伤残保险责任200000元、意外伤害住院护理津贴4500元
平安守护·全家共享意外险(互联网版)的标的有什么,您好，平安守护·全家共享意外险(互联网版)的累计购买最大份数是1份。
我想了解不属于平安守护·全家共享意外险(互联网版)标的的内容,您好，平安守护·全家共享意外险(互联网版)的标的是自然人（职业类型非必填）。
平安守护·全家共享意外险(互联网版)的价格区间,您好，平安守护·全家共享意外险(互联网版)的最低保费是168.0元。
平安守护·全家共享意外险(互联网版)的收费标准,您好，您可点此进入平安守护·全家共享意外险(互联网版)详情页面进行购买。
平安守护·全家共享意外险(互联网版)的优势,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险(互联网版)的主要亮点,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险(互联网版)的产品优势包含哪些,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险(互联网版)有哪些吸引人的产品特点,您好，平安守护·全家共享意外险(互联网版)的产品特色是：超高性价比，一张保单保全家多种意外。
平安守护·全家共享意外险(互联网版)投保人的年龄限制,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险(互联网版)有规定投保年龄吗,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险(互联网版)投保至多少岁,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险(互联网版)怎么购买,您好，您可点此进入平安守护·全家共享意外险(互联网版)详情页面进行购买。
平安守护·全家共享意外险(互联网版)投保流程,您好，您可点此进入平安守护·全家共享意外险(互联网版)详情页面进行购买。
平安守护·全家共享意外险(互联网版)被保险人的年龄是否有要求,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险(互联网版)投保年龄是否有限制,您好，平安守护·全家共享意外险(互联网版)的承保年龄是1-65岁。
平安守护·全家共享意外险(互联网版)能否重复投保,您好，平安守护·全家共享意外险(互联网版)的累计购买最大份数是1份。
平安守护·全家共享意外险(互联网版)可以重复投保吗,您好，平安守护·全家共享意外险(互联网版)的累计购买最大份数是1份。
平安守护·全家共享意外险(互联网版)有购买次数要求么,您好，平安守护·全家共享意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·全家共享意外险(互联网版)可不可以重复投保,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险(互联网版)生效时间是什么时候,您好，平安守护·全家共享意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·全家共享意外险(互联网版)起保时间,您好，平安守护·全家共享意外险(互联网版)投保成功后，最快生效时间是：4天后生效。
平安守护·全家共享意外险(互联网版)适合哪些人投保,您好，平安守护·全家共享意外险(互联网版)的适用人群为：白领|老人|少儿|家庭|女士|男士。
平安守护·全家共享意外险(互联网版)投保的人群是哪些,您好，平安守护·全家共享意外险(互联网版)的适用人群为：白领|老人|少儿|家庭|女士|男士。
平安守护·全家共享意外险(互联网版)需要健康告知吗,您好，投保平安守护·全家共享意外险(互联网版)时不需要进行健康告知。
平安守护·全家共享意外险(互联网版)投保前是否要健康告知,您好，投保平安守护·全家共享意外险(互联网版)时不需要进行健康告知。
平安守护·全家共享意外险(互联网版)犹豫期,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·全家共享意外险(互联网版)犹豫期是多少天,您好，平安守护·全家共享意外险(互联网版)的保险期限是1年。
平安守护·少儿意外险(互联网版)有没有犹豫期,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护·少儿意外险(互联网版)犹豫期说明,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护·少儿意外险(互联网版)有无犹豫期,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护·少儿意外险(互联网版)这款产品有犹豫期吗?,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护·少儿意外险(互联网版)保障范围是什么,您好，平安守护·少儿意外险(互联网版)的保障责任：甲乙丙类传染病身故、住院护理津贴、预防接种失效、意外伤害医疗、甲乙类传染病身故、身故伤残保险责任、意外伤害身故和残疾。
平安守护·少儿意外险(互联网版)保障责任,您好，平安守护·少儿意外险(互联网版)的保障责任：甲乙丙类传染病身故、住院护理津贴、预防接种失效、意外伤害医疗、甲乙类传染病身故、身故伤残保险责任、意外伤害身故和残疾。
平安守护·少儿意外险(互联网版)主要保障哪些,您好，平安守护·少儿意外险(互联网版)的保障责任：甲乙丙类传染病身故、住院护理津贴、预防接种失效、意外伤害医疗、甲乙类传染病身故、身故伤残保险责任、意外伤害身故和残疾。
平安守护·少儿意外险(互联网版)能保障什么,您好，平安守护·少儿意外险(互联网版)的保障责任：甲乙丙类传染病身故、住院护理津贴、预防接种失效、意外伤害医疗、甲乙类传染病身故、身故伤残保险责任、意外伤害身故和残疾。
平安守护·少儿意外险(互联网版)最久能投多少时间,您好，平安守护·少儿意外险(互联网版)投保成功后，最快生效时间是：第二天0时生效。
平安守护·少儿意外险(互联网版)最多一次保多久,您好，平安守护·少儿意外险(互联网版)的保险期限是1年。
平安守护·少儿意外险(互联网版)保额是多少,您好，平安守护·少儿意外险(互联网版)的最高保额为：10万。其中，甲乙类传染病身故100000元、预防接种失效1000元、身故伤残保险责任100000元、意外伤害住院护理津贴4500元、意外伤害身故和残疾100000元
平安守护·少儿意外险(互联网版)保险保额,您好，平安守护·少儿意外险(互联网版)的最高保额为：10万。其中，甲乙类传染病身故100000元、预防接种失效1000元、身故伤残保险责任100000元、意外伤害住院护理津贴4500元、意外伤害身故和残疾100000元
我想了解不属于平安守护·少儿意外险(互联网版)标的的内容,您好，平安守护·少儿意外险(互联网版)的标的是自然人（职业类型非必填）。
我想了解不属于平安守护·少儿意外险(互联网版)标的的内容有哪些,您好，平安守护·少儿意外险(互联网版)的标的是自然人（职业类型非必填）。
平安守护·少儿意外险(互联网版)的价格区间,您好，平安守护·少儿意外险(互联网版)的最低保费是98.0元。
平安守护·少儿意外险(互联网版)的收费标准,您好，平安守护·少儿意外险(互联网版)的最低保费是98.0元。
平安守护·少儿意外险(互联网版)的优势在哪,您好，平安守护·少儿意外险(互联网版)的产品特色是：保障萌宝意外事故导致的身故及伤残。
平安守护·少儿意外险(互联网版)有什么优势,您好，平安守护·少儿意外险(互联网版)的产品特色是：保障萌宝意外事故导致的身故及伤残。
平安守护·少儿意外险(互联网版)有什么好的,您好，平安守护·少儿意外险(互联网版)的产品特色是：保障萌宝意外事故导致的身故及伤残。
少儿意外险(互联网版)平安守护的亮点是什么,您好，平安守护·少儿意外险(互联网版)的产品特色是：保障萌宝意外事故导致的身故及伤残。
平安守护·少儿意外险(互联网版)投保最小要求,您好，您可点此进入平安守护·少儿意外险(互联网版)详情页面进行购买。
平安守护·少儿意外险(互联网版)投保的年龄区间,您好，平安守护·少儿意外险(互联网版)的投保年龄是16-65周岁。
平安守护·少儿意外险(互联网版)投保年龄,您好，平安守护·少儿意外险(互联网版)的投保年龄是16-65周岁。
平安守护·少儿意外险(互联网版)被保人年龄不得超过多少岁,您好，平安守护·少儿意外险(互联网版)的承保年龄是0-17岁。
平安守护·少儿意外险(互联网版)怎么购买,您好，您可点此进入平安守护·少儿意外险(互联网版)详情页面进行购买。
平安守护·少儿意外险(互联网版)投保流程,您好，您可点此进入平安守护·少儿意外险(互联网版)详情页面进行购买。
平安守护·少儿意外险(互联网版)被保险人的年龄是否有要求,您好，平安守护·少儿意外险(互联网版)的承保年龄是0-17岁。
平安守护·少儿意外险(互联网版)投保年龄是否有限制,您好，平安守护·少儿意外险(互联网版)的承保年龄是0-17岁。
同一被保险人，能否重复购买平安守护·少儿意外险(互联网版),您好，平安守护·少儿意外险(互联网版)的保险期限是1年。
平安守护·少儿意外险(互联网版)可以投保多少份,您好，平安守护·少儿意外险(互联网版)的累计购买最大份数是1份。
平安守护·少儿意外险(互联网版)投保份数是否有限制,您好，平安守护·少儿意外险(互联网版)的累计购买最大份数是1份。
平安守护·少儿意外险(互联网版)生效时间是什么时候,您好，平安守护·少儿意外险(互联网版)投保成功后，最快生效时间是：第二天0时生效。
平安守护·少儿意外险(互联网版)起保时间,您好，平安守护·少儿意外险(互联网版)的保险期限是1年。
平安守护·少儿意外险(互联网版)适合哪些人投保,您好，平安守护·少儿意外险(互联网版)的适用人群为：少儿。
平安守护·少儿意外险(互联网版)投保的人群是哪些,您好，平安守护·少儿意外险(互联网版)的承保年龄是0-17岁。
平安守护·少儿意外险(互联网版)需要健康告知吗,您好，投保平安守护·少儿意外险(互联网版)时不需要进行健康告知。
平安守护·少儿意外险(互联网版)投保前是否要健康告知,您好，投保平安守护·少儿意外险(互联网版)时不需要进行健康告知。
平安守护·少儿意外险(互联网版犹豫期,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护·少儿意外险(互联网版)犹豫期是多少天,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护少儿意外险这款产品有犹豫期吗?,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护少儿意外险平安守护有没有犹豫期,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护少儿意外险是否有犹豫期,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护少儿意外险犹豫期的具体说明,您好，平安守护·少儿意外险(互联网版)有0天的犹豫期。
平安守护-少儿意外险的保障责任是什么,您好，平安守护-少儿意外险的保障责任：甲乙丙类传染病身故、意外伤害医疗、住院护理津贴、意外伤害身故和残疾、预防接种失效、甲乙类传染病身故。
平安守护-少儿意外险主要保障什么呢,您好，平安守护-少儿意外险的保障责任：甲乙丙类传染病身故、意外伤害医疗、住院护理津贴、意外伤害身故和残疾、预防接种失效、甲乙类传染病身故。
平安守护-少儿意外险的保障范围是什么,您好，平安守护-少儿意外险的保障责任：甲乙丙类传染病身故、意外伤害医疗、住院护理津贴、意外伤害身故和残疾、预防接种失效、甲乙类传染病身故。
平安守护-少儿意外险保障内容,您好，平安守护-少儿意外险的保障责任：甲乙丙类传染病身故、意外伤害医疗、住院护理津贴、意外伤害身故和残疾、预防接种失效、甲乙类传染病身故。
平安守护-少儿意外险只能购买一年吗,您好，平安守护-少儿意外险的保险期限是1年。
平安守护-少儿意外险最多能保多久,您好，平安守护-少儿意外险的保险期限是1年。
平安守护-少儿意外险的保额介绍,您好，平安守护-少儿意外险的最高保额为：10万。其中，住院护理津贴4500元、意外伤害身故和残疾200000元、甲乙类传染病身故100000元、预防接种失效1000元、意外伤害医疗10000元
平安守护-少儿意外险保障的额度分别是多少,您好，平安守护-少儿意外险的最高保额为：10万。其中，住院护理津贴4500元、意外伤害身故和残疾200000元、甲乙类传染病身故100000元、预防接种失效1000元、意外伤害医疗10000元
不属于平安守护-少儿意外险的标的内容有哪些,您好，平安守护-少儿意外险的累计购买最大份数是1份。
平安守护-少儿意外险的价格区间,您好，平安守护-少儿意外险的最低保费是98.0元。
平安守护-少儿意外险的收费标准,您好，您可点此进入平安守护-少儿意外险详情页面进行购买。
平安守护-少儿意外险好在哪里,您好，平安守护-少儿意外险的产品特色是：保障萌宝意外事故导致的身故及伤残。
平安守护少儿意外险的主要卖点,您好，平安守护·少儿意外险(互联网版)的产品特色是：保障萌宝意外事故导致的身故及伤残。
少儿意外险平安守护的购买理由,您好，您可点此进入平安守护·少儿意外险(互联网版)详情页面进行购买。
少儿意外险平安守护的产品亮点,您好，平安守护·少儿意外险(互联网版)的产品特色是：保障萌宝意外事故导致的身故及伤残。
平安守护-少儿意外险被保人年龄不能超过几岁,您好，平安守护-少儿意外险的承保年龄是0-17岁。
平安守护-少儿意外险对被保人年龄区间有什么要求,您好，平安守护-少儿意外险的承保年龄是0-17岁。
平安守护-少儿意外险超过多少岁就不能买了,您好，平安守护-少儿意外险的承保年龄是0-17岁。
平安守护-少儿意外险对被保险人年龄有无要求,您好，平安守护-少儿意外险的承保年龄是0-17岁。
平安守护-少儿意外险怎么购买,您好，您可点此进入平安守护-少儿意外险详情页面进行购买。
平安守护-少儿意外险投保流程,您好，您可点此进入平安守护-少儿意外险详情页面进行购买。
平安守护-少儿意外险被保险人的年龄是否有要求,您好，平安守护-少儿意外险的承保年龄是0-17岁。
平安守护-少儿意外险投保年龄是否有限制,您好，平安守护-少儿意外险的承保年龄是0-17岁。
平安守护-少儿意外险只能购买一份吗,您好，平安守护-少儿意外险的累计购买最大份数是1份。
平安守护-少儿意外险能否购买多份,您好，平安守护-少儿意外险的累计购买最大份数是1份。
平安守护-少儿意外险一个人只能买一份吗,您好，平安守护-少儿意外险的累计购买最大份数是1份。
平安守护-少儿意外险我想买两份可以吗,您好，平安守护-少儿意外险的累计购买最大份数是1份。
平安守护-少儿意外险生效时间是什么时候,您好，平安守护-少儿意外险投保成功后，最快生效时间是：第二天0时生效。
平安守护-少儿意外险起保时间,您好，平安守护-少儿意外险投保成功后，最快生效时间是：第二天0时生效。
平安守护-少儿意外险适合哪些人投保,您好，平安守护-少儿意外险的适用人群为：少儿|学生|女士|男士。
平安守护-少儿意外险投保的人群是哪些,您好，平安守护-少儿意外险的适用人群为：少儿|学生|女士|男士。
平安守护-少儿意外险需要健康告知吗,您好，投保平安守护-少儿意外险时不需要进行健康告知。
平安守护-少儿意外险投保前是否要健康告知,您好，投保平安守护-少儿意外险时不需要进行健康告知。
平安守护-少儿意外险有没有犹豫期,您好，平安守护-少儿意外险的保险期限是1年。
平安守护-少儿意外险犹豫期是多少天,您好，平安守护-少儿意外险的保险期限是1年。
E生平安·疾病守护金（互联网版）适用哪些职业,您好，平安守护·成人意外险(互联网版)的适用人群为：全部|白领|女士|男士。
E生平安·防癌可以保障多久时间,您好，平安E生平安·医疗险的保险期限是1年。
E生平安·防癌的保额介绍,您好，平安E生平安·医疗险的最高保额为：600万。其中，重大疾病保险金10000元、一般医疗费用保险责任3000000元、特定疾病医疗费用保险责任3000000元、质子重离子医疗保险责任1000000元
平安冀安保的品牌亮点,您好，平安E生平安·医疗险的产品特色是：最高600万保障，不限社保用药。
